TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705001
Test Name:,Test 1
Start Date:,06/03/2022
Start Time:,11:27:47
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.037
,Minimum:,0.023
,Time of Minimum:,11:28:13
,Date of Minimum:,06/03/2022
,Maximum:,0.056
,Time of Maximum:,11:28:23
,Date of Maximum:,06/03/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,06/03/2022
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
06/03/2022,11:27:48,0.035
06/03/2022,11:27:49,0.054
06/03/2022,11:27:50,0.034
06/03/2022,11:27:51,0.035
06/03/2022,11:27:52,0.034
06/03/2022,11:27:53,0.032
06/03/2022,11:27:54,0.046
06/03/2022,11:27:55,0.037
06/03/2022,11:27:56,0.036
06/03/2022,11:27:57,0.039
06/03/2022,11:27:58,0.03
06/03/2022,11:27:59,0.036
06/03/2022,11:28:00,0.051
06/03/2022,11:28:01,0.037
06/03/2022,11:28:02,0.032
06/03/2022,11:28:03,0.038
06/03/2022,11:28:04,0.035
06/03/2022,11:28:05,0.029
06/03/2022,11:28:06,0.038
06/03/2022,11:28:07,0.025
06/03/2022,11:28:08,0.035
06/03/2022,11:28:09,0.035
06/03/2022,11:28:10,0.029
06/03/2022,11:28:11,0.033
06/03/2022,11:28:12,0.034
06/03/2022,11:28:13,0.023
06/03/2022,11:28:14,0.037
06/03/2022,11:28:15,0.037
06/03/2022,11:28:16,0.042
06/03/2022,11:28:17,0.043
06/03/2022,11:28:18,0.043
06/03/2022,11:28:19,0.053
06/03/2022,11:28:20,0.031
06/03/2022,11:28:21,0.033
06/03/2022,11:28:22,0.045
06/03/2022,11:28:23,0.056
06/03/2022,11:28:24,0.028
06/03/2022,11:28:25,0.049
06/03/2022,11:28:26,0.032
06/03/2022,11:28:27,0.04
06/03/2022,11:28:28,0.033
06/03/2022,11:28:29,0.036
06/03/2022,11:28:30,0.033
06/03/2022,11:28:31,0.034
06/03/2022,11:28:32,0.037
06/03/2022,11:28:33,0.029
06/03/2022,11:28:34,0.035
06/03/2022,11:28:35,0.048
06/03/2022,11:28:36,0.029
06/03/2022,11:28:37,0.038
06/03/2022,11:28:38,0.041
06/03/2022,11:28:39,0.035
06/03/2022,11:28:40,0.044
06/03/2022,11:28:41,0.043
06/03/2022,11:28:42,0.036
06/03/2022,11:28:43,0.036
06/03/2022,11:28:44,0.042
06/03/2022,11:28:45,0.049
06/03/2022,11:28:46,0.042
06/03/2022,11:28:47,0.03

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705001
Test Name:,Test 2
Start Date:,06/03/2022
Start Time:,12:27:48
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.041
,Minimum:,0.025
,Time of Minimum:,12:27:52
,Date of Minimum:,06/03/2022
,Maximum:,0.067
,Time of Maximum:,12:28:04
,Date of Maximum:,06/03/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,06/03/2022
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
06/03/2022,12:27:49,0.048
06/03/2022,12:27:50,0.051
06/03/2022,12:27:51,0.037
06/03/2022,12:27:52,0.025
06/03/2022,12:27:53,0.049
06/03/2022,12:27:54,0.031
06/03/2022,12:27:55,0.045
06/03/2022,12:27:56,0.049
06/03/2022,12:27:57,0.059
06/03/2022,12:27:58,0.035
06/03/2022,12:27:59,0.026
06/03/2022,12:28:00,0.054
06/03/2022,12:28:01,0.041
06/03/2022,12:28:02,0.035
06/03/2022,12:28:03,0.026
06/03/2022,12:28:04,0.067
06/03/2022,12:28:05,0.047
06/03/2022,12:28:06,0.038
06/03/2022,12:28:07,0.047
06/03/2022,12:28:08,0.038
06/03/2022,12:28:09,0.034
06/03/2022,12:28:10,0.034
06/03/2022,12:28:11,0.034
06/03/2022,12:28:12,0.032
06/03/2022,12:28:13,0.032
06/03/2022,12:28:14,0.037
06/03/2022,12:28:15,0.043
06/03/2022,12:28:16,0.046
06/03/2022,12:28:17,0.041
06/03/2022,12:28:18,0.034
06/03/2022,12:28:19,0.034
06/03/2022,12:28:20,0.039
06/03/2022,12:28:21,0.04
06/03/2022,12:28:22,0.037
06/03/2022,12:28:23,0.041
06/03/2022,12:28:24,0.041
06/03/2022,12:28:25,0.042
06/03/2022,12:28:26,0.039
06/03/2022,12:28:27,0.041
06/03/2022,12:28:28,0.06
06/03/2022,12:28:29,0.052
06/03/2022,12:28:30,0.045
06/03/2022,12:28:31,0.037
06/03/2022,12:28:32,0.034
06/03/2022,12:28:33,0.045
06/03/2022,12:28:34,0.041
06/03/2022,12:28:35,0.053
06/03/2022,12:28:36,0.04
06/03/2022,12:28:37,0.038
06/03/2022,12:28:38,0.045
06/03/2022,12:28:39,0.036
06/03/2022,12:28:40,0.036
06/03/2022,12:28:41,0.051
06/03/2022,12:28:42,0.03
06/03/2022,12:28:43,0.037
06/03/2022,12:28:44,0.034
06/03/2022,12:28:45,0.049
06/03/2022,12:28:46,0.049
06/03/2022,12:28:47,0.043
06/03/2022,12:28:48,0.038

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705001
Test Name:,Test 3
Start Date:,06/03/2022
Start Time:,01:27:48
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.046
,Minimum:,0.033
,Time of Minimum:,01:28:17
,Date of Minimum:,06/03/2022
,Maximum:,0.078
,Time of Maximum:,01:28:48
,Date of Maximum:,06/03/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,06/03/2022
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
06/03/2022,13:27:49,0.04
06/03/2022,13:27:50,0.041
06/03/2022,13:27:51,0.043
06/03/2022,13:27:52,0.034
06/03/2022,13:27:53,0.041
06/03/2022,13:27:54,0.043
06/03/2022,13:27:55,0.042
06/03/2022,13:27:56,0.039
06/03/2022,13:27:57,0.044
06/03/2022,13:27:58,0.039
06/03/2022,13:27:59,0.042
06/03/2022,13:28:00,0.048
06/03/2022,13:28:01,0.039
06/03/2022,13:28:02,0.037
06/03/2022,13:28:03,0.054
06/03/2022,13:28:04,0.046
06/03/2022,13:28:05,0.058
06/03/2022,13:28:06,0.052
06/03/2022,13:28:07,0.069
06/03/2022,13:28:08,0.043
06/03/2022,13:28:09,0.043
06/03/2022,13:28:10,0.043
06/03/2022,13:28:11,0.059
06/03/2022,13:28:12,0.052
06/03/2022,13:28:13,0.035
06/03/2022,13:28:14,0.038
06/03/2022,13:28:15,0.049
06/03/2022,13:28:16,0.035
06/03/2022,13:28:17,0.033
06/03/2022,13:28:18,0.041
06/03/2022,13:28:19,0.043
06/03/2022,13:28:20,0.04
06/03/2022,13:28:21,0.04
06/03/2022,13:28:22,0.052
06/03/2022,13:28:23,0.041
06/03/2022,13:28:24,0.036
06/03/2022,13:28:25,0.051
06/03/2022,13:28:26,0.041
06/03/2022,13:28:27,0.039
06/03/2022,13:28:28,0.056
06/03/2022,13:28:29,0.034
06/03/2022,13:28:30,0.044
06/03/2022,13:28:31,0.077
06/03/2022,13:28:32,0.051
06/03/2022,13:28:33,0.038
06/03/2022,13:28:34,0.041
06/03/2022,13:28:35,0.045
06/03/2022,13:28:36,0.061
06/03/2022,13:28:37,0.062
06/03/2022,13:28:38,0.045
06/03/2022,13:28:39,0.048
06/03/2022,13:28:40,0.036
06/03/2022,13:28:41,0.052
06/03/2022,13:28:42,0.041
06/03/2022,13:28:43,0.072
06/03/2022,13:28:44,0.037
06/03/2022,13:28:45,0.037
06/03/2022,13:28:46,0.038
06/03/2022,13:28:47,0.043
06/03/2022,13:28:48,0.078

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
