TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705001
Test Name:,Test 1
Start Date:,09/18/2020
Start Time:,08:30:08
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.02
,Minimum:,0.009
,Time of Minimum:,08:30:51
,Date of Minimum:,09/18/2020
,Maximum:,0.04
,Time of Maximum:,08:30:27
,Date of Maximum:,09/18/2020

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,09/18/2020
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
09/18/2020,08:30:09,0.021
09/18/2020,08:30:10,0.026
09/18/2020,08:30:11,0.033
09/18/2020,08:30:12,0.019
09/18/2020,08:30:13,0.016
09/18/2020,08:30:14,0.023
09/18/2020,08:30:15,0.035
09/18/2020,08:30:16,0.016
09/18/2020,08:30:17,0.014
09/18/2020,08:30:18,0.021
09/18/2020,08:30:19,0.03
09/18/2020,08:30:20,0.026
09/18/2020,08:30:21,0.023
09/18/2020,08:30:22,0.021
09/18/2020,08:30:23,0.029
09/18/2020,08:30:24,0.021
09/18/2020,08:30:25,0.021
09/18/2020,08:30:26,0.023
09/18/2020,08:30:27,0.04
09/18/2020,08:30:28,0.019
09/18/2020,08:30:29,0.02
09/18/2020,08:30:30,0.024
09/18/2020,08:30:31,0.014
09/18/2020,08:30:32,0.018
09/18/2020,08:30:33,0.021
09/18/2020,08:30:34,0.012
09/18/2020,08:30:35,0.011
09/18/2020,08:30:36,0.022
09/18/2020,08:30:37,0.015
09/18/2020,08:30:38,0.015
09/18/2020,08:30:39,0.021
09/18/2020,08:30:40,0.017
09/18/2020,08:30:41,0.021
09/18/2020,08:30:42,0.016
09/18/2020,08:30:43,0.017
09/18/2020,08:30:44,0.013
09/18/2020,08:30:45,0.015
09/18/2020,08:30:46,0.018
09/18/2020,08:30:47,0.017
09/18/2020,08:30:48,0.036
09/18/2020,08:30:49,0.017
09/18/2020,08:30:50,0.011
09/18/2020,08:30:51,0.009
09/18/2020,08:30:52,0.02
09/18/2020,08:30:53,0.028
09/18/2020,08:30:54,0.016
09/18/2020,08:30:55,0.024
09/18/2020,08:30:56,0.017
09/18/2020,08:30:57,0.019
09/18/2020,08:30:58,0.016
09/18/2020,08:30:59,0.023
09/18/2020,08:31:00,0.013
09/18/2020,08:31:01,0.026
09/18/2020,08:31:02,0.014
09/18/2020,08:31:03,0.016
09/18/2020,08:31:04,0.023
09/18/2020,08:31:05,0.018
09/18/2020,08:31:06,0.028
09/18/2020,08:31:07,0.019
09/18/2020,08:31:08,0.019

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705001
Test Name:,Test 2
Start Date:,09/18/2020
Start Time:,09:30:08
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.065
,Minimum:,0.045
,Time of Minimum:,09:30:11
,Date of Minimum:,09/18/2020
,Maximum:,0.104
,Time of Maximum:,09:30:49
,Date of Maximum:,09/18/2020

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,09/18/2020
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
09/18/2020,09:30:09,0.056
09/18/2020,09:30:10,0.052
09/18/2020,09:30:11,0.045
09/18/2020,09:30:12,0.066
09/18/2020,09:30:13,0.057
09/18/2020,09:30:14,0.058
09/18/2020,09:30:15,0.052
09/18/2020,09:30:16,0.088
09/18/2020,09:30:17,0.072
09/18/2020,09:30:18,0.056
09/18/2020,09:30:19,0.069
09/18/2020,09:30:20,0.07
09/18/2020,09:30:21,0.058
09/18/2020,09:30:22,0.077
09/18/2020,09:30:23,0.07
09/18/2020,09:30:24,0.074
09/18/2020,09:30:25,0.054
09/18/2020,09:30:26,0.057
09/18/2020,09:30:27,0.074
09/18/2020,09:30:28,0.083
09/18/2020,09:30:29,0.067
09/18/2020,09:30:30,0.059
09/18/2020,09:30:31,0.071
09/18/2020,09:30:32,0.063
09/18/2020,09:30:33,0.092
09/18/2020,09:30:34,0.072
09/18/2020,09:30:35,0.069
09/18/2020,09:30:36,0.07
09/18/2020,09:30:37,0.057
09/18/2020,09:30:38,0.06
09/18/2020,09:30:39,0.066
09/18/2020,09:30:40,0.06
09/18/2020,09:30:41,0.053
09/18/2020,09:30:42,0.074
09/18/2020,09:30:43,0.065
09/18/2020,09:30:44,0.058
09/18/2020,09:30:45,0.072
09/18/2020,09:30:46,0.096
09/18/2020,09:30:47,0.048
09/18/2020,09:30:48,0.072
09/18/2020,09:30:49,0.104
09/18/2020,09:30:50,0.063
09/18/2020,09:30:51,0.048
09/18/2020,09:30:52,0.047
09/18/2020,09:30:53,0.058
09/18/2020,09:30:54,0.052
09/18/2020,09:30:55,0.059
09/18/2020,09:30:56,0.073
09/18/2020,09:30:57,0.054
09/18/2020,09:30:58,0.065
09/18/2020,09:30:59,0.06
09/18/2020,09:31:00,0.064
09/18/2020,09:31:01,0.056
09/18/2020,09:31:02,0.069
09/18/2020,09:31:03,0.068
09/18/2020,09:31:04,0.059
09/18/2020,09:31:05,0.074
09/18/2020,09:31:06,0.067
09/18/2020,09:31:07,0.063
09/18/2020,09:31:08,0.069

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705001
Test Name:,Test 3
Start Date:,09/18/2020
Start Time:,10:30:08
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.054
,Minimum:,0.033
,Time of Minimum:,10:30:39
,Date of Minimum:,09/18/2020
,Maximum:,0.092
,Time of Maximum:,10:30:58
,Date of Maximum:,09/18/2020

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,09/18/2020
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
09/18/2020,10:30:09,0.063
09/18/2020,10:30:10,0.046
09/18/2020,10:30:11,0.06
09/18/2020,10:30:12,0.05
09/18/2020,10:30:13,0.047
09/18/2020,10:30:14,0.048
09/18/2020,10:30:15,0.061
09/18/2020,10:30:16,0.078
09/18/2020,10:30:17,0.055
09/18/2020,10:30:18,0.052
09/18/2020,10:30:19,0.045
09/18/2020,10:30:20,0.056
09/18/2020,10:30:21,0.05
09/18/2020,10:30:22,0.044
09/18/2020,10:30:23,0.05
09/18/2020,10:30:24,0.053
09/18/2020,10:30:25,0.053
09/18/2020,10:30:26,0.062
09/18/2020,10:30:27,0.051
09/18/2020,10:30:28,0.043
09/18/2020,10:30:29,0.057
09/18/2020,10:30:30,0.056
09/18/2020,10:30:31,0.061
09/18/2020,10:30:32,0.042
09/18/2020,10:30:33,0.05
09/18/2020,10:30:34,0.043
09/18/2020,10:30:35,0.055
09/18/2020,10:30:36,0.045
09/18/2020,10:30:37,0.04
09/18/2020,10:30:38,0.039
09/18/2020,10:30:39,0.033
09/18/2020,10:30:40,0.051
09/18/2020,10:30:41,0.063
09/18/2020,10:30:42,0.061
09/18/2020,10:30:43,0.059
09/18/2020,10:30:44,0.062
09/18/2020,10:30:45,0.049
09/18/2020,10:30:46,0.066
09/18/2020,10:30:47,0.05
09/18/2020,10:30:48,0.057
09/18/2020,10:30:49,0.047
09/18/2020,10:30:50,0.062
09/18/2020,10:30:51,0.048
09/18/2020,10:30:52,0.049
09/18/2020,10:30:53,0.067
09/18/2020,10:30:54,0.054
09/18/2020,10:30:55,0.083
09/18/2020,10:30:56,0.055
09/18/2020,10:30:57,0.058
09/18/2020,10:30:58,0.092
09/18/2020,10:30:59,0.048
09/18/2020,10:31:00,0.05
09/18/2020,10:31:01,0.051
09/18/2020,10:31:02,0.057
09/18/2020,10:31:03,0.045
09/18/2020,10:31:04,0.051
09/18/2020,10:31:05,0.052
09/18/2020,10:31:06,0.047
09/18/2020,10:31:07,0.047
09/18/2020,10:31:08,0.048

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705001
