TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705001
Test Name:,Test 1
Start Date:,03/15/2022
Start Time:,09:44:38
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.059
,Minimum:,0.045
,Time of Minimum:,09:45:01
,Date of Minimum:,03/15/2022
,Maximum:,0.085
,Time of Maximum:,09:44:50
,Date of Maximum:,03/15/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,03/08/2022
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
03/15/2022,09:44:39,0.049
03/15/2022,09:44:40,0.078
03/15/2022,09:44:41,0.05
03/15/2022,09:44:42,0.054
03/15/2022,09:44:43,0.053
03/15/2022,09:44:44,0.053
03/15/2022,09:44:45,0.057
03/15/2022,09:44:46,0.05
03/15/2022,09:44:47,0.054
03/15/2022,09:44:48,0.049
03/15/2022,09:44:49,0.052
03/15/2022,09:44:50,0.085
03/15/2022,09:44:51,0.047
03/15/2022,09:44:52,0.05
03/15/2022,09:44:53,0.049
03/15/2022,09:44:54,0.064
03/15/2022,09:44:55,0.051
03/15/2022,09:44:56,0.066
03/15/2022,09:44:57,0.058
03/15/2022,09:44:58,0.059
03/15/2022,09:44:59,0.047
03/15/2022,09:45:00,0.057
03/15/2022,09:45:01,0.045
03/15/2022,09:45:02,0.072
03/15/2022,09:45:03,0.052
03/15/2022,09:45:04,0.051
03/15/2022,09:45:05,0.066
03/15/2022,09:45:06,0.06
03/15/2022,09:45:07,0.053
03/15/2022,09:45:08,0.061
03/15/2022,09:45:09,0.073
03/15/2022,09:45:10,0.056
03/15/2022,09:45:11,0.066
03/15/2022,09:45:12,0.058
03/15/2022,09:45:13,0.046
03/15/2022,09:45:14,0.053
03/15/2022,09:45:15,0.047
03/15/2022,09:45:16,0.054
03/15/2022,09:45:17,0.057
03/15/2022,09:45:18,0.078
03/15/2022,09:45:19,0.076
03/15/2022,09:45:20,0.058
03/15/2022,09:45:21,0.057
03/15/2022,09:45:22,0.066
03/15/2022,09:45:23,0.053
03/15/2022,09:45:24,0.055
03/15/2022,09:45:25,0.047
03/15/2022,09:45:26,0.08
03/15/2022,09:45:27,0.051
03/15/2022,09:45:28,0.068
03/15/2022,09:45:29,0.082
03/15/2022,09:45:30,0.052
03/15/2022,09:45:31,0.047
03/15/2022,09:45:32,0.056
03/15/2022,09:45:33,0.08
03/15/2022,09:45:34,0.047
03/15/2022,09:45:35,0.071
03/15/2022,09:45:36,0.056
03/15/2022,09:45:37,0.065
03/15/2022,09:45:38,0.065

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705001
Test Name:,Test 2
Start Date:,03/15/2022
Start Time:,10:44:39
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.076
,Minimum:,0.052
,Time of Minimum:,10:45:15
,Date of Minimum:,03/15/2022
,Maximum:,0.166
,Time of Maximum:,10:45:37
,Date of Maximum:,03/15/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,03/08/2022
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
03/15/2022,10:44:40,0.068
03/15/2022,10:44:41,0.076
03/15/2022,10:44:42,0.067
03/15/2022,10:44:43,0.066
03/15/2022,10:44:44,0.062
03/15/2022,10:44:45,0.074
03/15/2022,10:44:46,0.062
03/15/2022,10:44:47,0.064
03/15/2022,10:44:48,0.076
03/15/2022,10:44:49,0.069
03/15/2022,10:44:50,0.1
03/15/2022,10:44:51,0.089
03/15/2022,10:44:52,0.096
03/15/2022,10:44:53,0.069
