TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704010
Test Name:,Test 1
Start Date:,02/01/2022
Start Time:,01:19:30
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.007
,Minimum:,0
,Time of Minimum:,01:19:37
,Date of Minimum:,02/01/2022
,Maximum:,0.026
,Time of Maximum:,01:19:31
,Date of Maximum:,02/01/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,02/01/2022
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
02/01/2022,13:19:31,0.026
02/01/2022,13:19:32,0.019
02/01/2022,13:19:33,0.002
02/01/2022,13:19:34,0.013
02/01/2022,13:19:35,0.01
02/01/2022,13:19:36,0.001
02/01/2022,13:19:37,0
02/01/2022,13:19:38,0.007
02/01/2022,13:19:39,0.001
02/01/2022,13:19:40,0.008
02/01/2022,13:19:41,0.011
02/01/2022,13:19:42,0.006
02/01/2022,13:19:43,0.008
02/01/2022,13:19:44,0.008
02/01/2022,13:19:45,0.007
02/01/2022,13:19:46,0.004
02/01/2022,13:19:47,0.003
02/01/2022,13:19:48,0.007
02/01/2022,13:19:49,0.005
02/01/2022,13:19:50,0.006
02/01/2022,13:19:51,0.009
02/01/2022,13:19:52,0.01
02/01/2022,13:19:53,0.005
02/01/2022,13:19:54,0.007
02/01/2022,13:19:55,0.003
02/01/2022,13:19:56,0.005
02/01/2022,13:19:57,0.006
02/01/2022,13:19:58,0.012
02/01/2022,13:19:59,0.002
02/01/2022,13:20:00,0.003
02/01/2022,13:20:01,0.009
02/01/2022,13:20:02,0.007
02/01/2022,13:20:03,0.01
02/01/2022,13:20:04,0.006
02/01/2022,13:20:05,0.004
02/01/2022,13:20:06,0.006
02/01/2022,13:20:07,0.007
