TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704010
Test Name:,Test 1
Start Date:,04/20/2021
Start Time:,01:21:20
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.033
,Minimum:,0.022
,Time of Minimum:,01:22:15
,Date of Minimum:,04/20/2021
,Maximum:,0.084
,Time of Maximum:,01:21:47
,Date of Maximum:,04/20/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,04/20/2021
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
04/20/2021,13:21:21,0.034
04/20/2021,13:21:22,0.032
04/20/2021,13:21:23,0.031
04/20/2021,13:21:24,0.028
04/20/2021,13:21:25,0.03
04/20/2021,13:21:26,0.038
04/20/2021,13:21:27,0.034
04/20/2021,13:21:28,0.036
04/20/2021,13:21:29,0.04
04/20/2021,13:21:30,0.03
04/20/2021,13:21:31,0.031
04/20/2021,13:21:32,0.037
04/20/2021,13:21:33,0.028
04/20/2021,13:21:34,0.032
04/20/2021,13:21:35,0.03
04/20/2021,13:21:36,0.029
04/20/2021,13:21:37,0.025
04/20/2021,13:21:38,0.029
04/20/2021,13:21:39,0.039
04/20/2021,13:21:40,0.03
04/20/2021,13:21:41,0.033
04/20/2021,13:21:42,0.027
04/20/2021,13:21:43,0.025
04/20/2021,13:21:44,0.031
04/20/2021,13:21:45,0.031
04/20/2021,13:21:46,0.029
04/20/2021,13:21:47,0.084
04/20/2021,13:21:48,0.033
04/20/2021,13:21:49,0.031
04/20/2021,13:21:50,0.032
04/20/2021,13:21:51,0.032
04/20/2021,13:21:52,0.026
04/20/2021,13:21:53,0.025
04/20/2021,13:21:54,0.049
04/20/2021,13:21:55,0.031
04/20/2021,13:21:56,0.03
04/20/2021,13:21:57,0.035
04/20/2021,13:21:58,0.023
04/20/2021,13:21:59,0.028
04/20/2021,13:22:00,0.027
04/20/2021,13:22:01,0.033
04/20/2021,13:22:02,0.029
04/20/2021,13:22:03,0.032
04/20/2021,13:22:04,0.035
04/20/2021,13:22:05,0.032
04/20/2021,13:22:06,0.041
04/20/2021,13:22:07,0.031
04/20/2021,13:22:08,0.06
04/20/2021,13:22:09,0.027
04/20/2021,13:22:10,0.038
04/20/2021,13:22:11,0.037
04/20/2021,13:22:12,0.029
04/20/2021,13:22:13,0.031
04/20/2021,13:22:14,0.031
04/20/2021,13:22:15,0.022
04/20/2021,13:22:16,0.029
04/20/2021,13:22:17,0.025
04/20/2021,13:22:18,0.029
04/20/2021,13:22:19,0.034
04/20/2021,13:22:20,0.034

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704010
Test Name:,Test 2
Start Date:,04/20/2021
Start Time:,02:21:21
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.031
,Minimum:,0.02
,Time of Minimum:,02:21:50
,Date of Minimum:,04/20/2021
,Maximum:,0.041
,Time of Maximum:,02:21:26
,Date of Maximum:,04/20/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,04/20/2021
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
04/20/2021,14:21:22,0.03
04/20/2021,14:21:23,0.029
04/20/2021,14:21:24,0.036
04/20/2021,14:21:25,0.032
04/20/2021,14:21:26,0.041
04/20/2021,14:21:27,0.027
04/20/2021,14:21:28,0.024
04/20/2021,14:21:29,0.026
04/20/2021,14:21:30,0.031
04/20/2021,14:21:31,0.028
04/20/2021,14:21:32,0.031
04/20/2021,14:21:33,0.035
04/20/2021,14:21:34,0.032
04/20/2021,14:21:35,0.029
04/20/2021,14:21:36,0.036
04/20/2021,14:21:37,0.03
04/20/2021,14:21:38,0.027
04/20/2021,14:21:39,0.035
04/20/2021,14:21:40,0.032
04/20/2021,14:21:41,0.035
04/20/2021,14:21:42,0.03
04/20/2021,14:21:43,0.033
04/20/2021,14:21:44,0.04
04/20/2021,14:21:45,0.032
04/20/2021,14:21:46,0.036
04/20/2021,14:21:47,0.029
04/20/2021,14:21:48,0.028
04/20/2021,14:21:49,0.028
04/20/2021,14:21:50,0.02
04/20/2021,14:21:51,0.039
04/20/2021,14:21:52,0.036
04/20/2021,14:21:53,0.036
04/20/2021,14:21:54,0.035
04/20/2021,14:21:55,0.031
04/20/2021,14:21:56,0.032
04/20/2021,14:21:57,0.029
04/20/2021,14:21:58,0.024
04/20/2021,14:21:59,0.027
04/20/2021,14:22:00,0.027
04/20/2021,14:22:01,0.037
04/20/2021,14:22:02,0.027
04/20/2021,14:22:03,0.039
04/20/2021,14:22:04,0.033
04/20/2021,14:22:05,0.031
04/20/2021,14:22:06,0.03
04/20/2021,14:22:07,0.023
04/20/2021,14:22:08,0.03
04/20/2021,14:22:09,0.026
04/20/2021,14:22:10,0.032
04/20/2021,14:22:11,0.024
04/20/2021,14:22:12,0.028
04/20/2021,14:22:13,0.033
04/20/2021,14:22:14,0.034
04/20/2021,14:22:15,0.033
04/20/2021,14:22:16,0.031
04/20/2021,14:22:17,0.031
04/20/2021,14:22:18,0.028
04/20/2021,14:22:19,0.026
04/20/2021,14:22:20,0.031
04/20/2021,14:22:21,0.029

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704010
Test Name:,Test 3
Start Date:,04/20/2021
Start Time:,03:21:21
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.034
,Minimum:,0.023
,Time of Minimum:,03:21:52
,Date of Minimum:,04/20/2021
,Maximum:,0.057
,Time of Maximum:,03:22:19
,Date of Maximum:,04/20/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,04/20/2021
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
04/20/2021,15:21:22,0.038
04/20/2021,15:21:23,0.036
04/20/2021,15:21:24,0.033
04/20/2021,15:21:25,0.042
04/20/2021,15:21:26,0.038
04/20/2021,15:21:27,0.033
04/20/2021,15:21:28,0.031
04/20/2021,15:21:29,0.045
04/20/2021,15:21:30,0.029
04/20/2021,15:21:31,0.042
04/20/2021,15:21:32,0.036
04/20/2021,15:21:33,0.025
04/20/2021,15:21:34,0.026
04/20/2021,15:21:35,0.028
04/20/2021,15:21:36,0.032
04/20/2021,15:21:37,0.047
04/20/2021,15:21:38,0.033
04/20/2021,15:21:39,0.035
04/20/2021,15:21:40,0.035
04/20/2021,15:21:41,0.042
04/20/2021,15:21:42,0.033
04/20/2021,15:21:43,0.036
04/20/2021,15:21:44,0.042
04/20/2021,15:21:45,0.035
04/20/2021,15:21:46,0.027
04/20/2021,15:21:47,0.033
04/20/2021,15:21:48,0.042
04/20/2021,15:21:49,0.032
04/20/2021,15:21:50,0.036
04/20/2021,15:21:51,0.033
04/20/2021,15:21:52,0.023
04/20/2021,15:21:53,0.033
04/20/2021,15:21:54,0.028
04/20/2021,15:21:55,0.032
04/20/2021,15:21:56,0.03
04/20/2021,15:21:57,0.039
04/20/2021,15:21:58,0.031
04/20/2021,15:21:59,0.027
04/20/2021,15:22:00,0.035
04/20/2021,15:22:01,0.033
04/20/2021,15:22:02,0.032
04/20/2021,15:22:03,0.045
04/20/2021,15:22:04,0.037
04/20/2021,15:22:05,0.032
04/20/2021,15:22:06,0.036
04/20/2021,15:22:07,0.032
04/20/2021,15:22:08,0.028
04/20/2021,15:22:09,0.029
04/20/2021,15:22:10,0.031
