TrakPro Version 5.2.0.0 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704010
Test Name:,Test 1
Start Date:,07/05/2022
Start Time:,01:33:16
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.039
,Minimum:,0.027
,Time of Minimum:,01:33:48
,Date of Minimum:,07/05/2022
,Maximum:,0.061
,Time of Maximum:,01:33:17
,Date of Maximum:,07/05/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1.00
,Cal date:,07/05/2022
,Cal name:,Factory

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
07/05/2022,13:33:17,0.061
07/05/2022,13:33:18,0.049
07/05/2022,13:33:19,0.046
07/05/2022,13:33:20,0.041
07/05/2022,13:33:21,0.046
07/05/2022,13:33:22,0.051
07/05/2022,13:33:23,0.028
07/05/2022,13:33:24,0.038
07/05/2022,13:33:25,0.040
07/05/2022,13:33:26,0.033
07/05/2022,13:33:27,0.035
07/05/2022,13:33:28,0.041
07/05/2022,13:33:29,0.034
07/05/2022,13:33:30,0.030
07/05/2022,13:33:31,0.042
07/05/2022,13:33:32,0.035
07/05/2022,13:33:33,0.027
07/05/2022,13:33:34,0.031
07/05/2022,13:33:35,0.035
07/05/2022,13:33:36,0.040
07/05/2022,13:33:37,0.037
07/05/2022,13:33:38,0.035
07/05/2022,13:33:39,0.044
07/05/2022,13:33:40,0.054
07/05/2022,13:33:41,0.036
07/05/2022,13:33:42,0.039
07/05/2022,13:33:43,0.044
07/05/2022,13:33:44,0.051
07/05/2022,13:33:45,0.038
07/05/2022,13:33:46,0.046
07/05/2022,13:33:47,0.041
07/05/2022,13:33:48,0.027
07/05/2022,13:33:49,0.032
07/05/2022,13:33:50,0.038
07/05/2022,13:33:51,0.034
07/05/2022,13:33:52,0.036
07/05/2022,13:33:53,0.036
07/05/2022,13:33:54,0.032
07/05/2022,13:33:55,0.050
07/05/2022,13:33:56,0.032
07/05/2022,13:33:57,0.036
07/05/2022,13:33:58,0.036
07/05/2022,13:33:59,0.044
07/05/2022,13:34:00,0.039
07/05/2022,13:34:01,0.045
07/05/2022,13:34:02,0.040
07/05/2022,13:34:03,0.045
07/05/2022,13:34:04,0.047
07/05/2022,13:34:05,0.039
07/05/2022,13:34:06,0.036
07/05/2022,13:34:07,0.050
07/05/2022,13:34:08,0.032
07/05/2022,13:34:09,0.042
07/05/2022,13:34:10,0.033
07/05/2022,13:34:11,0.048
07/05/2022,13:34:12,0.032
07/05/2022,13:34:13,0.032
07/05/2022,13:34:14,0.039
07/05/2022,13:34:15,0.045
07/05/2022,13:34:16,0.039

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704010
Test Name:,Test 2
Start Date:,07/05/2022
Start Time:,02:33:17
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.040
,Minimum:,0.030
,Time of Minimum:,02:34:17
,Date of Minimum:,07/05/2022
,Maximum:,0.059
,Time of Maximum:,02:33:37
,Date of Maximum:,07/05/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1.00
,Cal date:,07/05/2022
,Cal name:,Factory

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
07/05/2022,14:33:18,0.040
07/05/2022,14:33:19,0.032
07/05/2022,14:33:20,0.038
07/05/2022,14:33:21,0.035
07/05/2022,14:33:22,0.034
07/05/2022,14:33:23,0.036
07/05/2022,14:33:24,0.038
07/05/2022,14:33:25,0.041
07/05/2022,14:33:26,0.042
07/05/2022,14:33:27,0.049
07/05/2022,14:33:28,0.031
07/05/2022,14:33:29,0.038
07/05/2022,14:33:30,0.038
07/05/2022,14:33:31,0.036
07/05/2022,14:33:32,0.041
07/05/2022,14:33:33,0.033
07/05/2022,14:33:34,0.038
07/05/2022,14:33:35,0.041
07/05/2022,14:33:36,0.045
07/05/2022,14:33:37,0.059
07/05/2022,14:33:38,0.044
07/05/2022,14:33:39,0.040
07/05/2022,14:33:40,0.055
07/05/2022,14:33:41,0.038
07/05/2022,14:33:42,0.044
07/05/2022,14:33:43,0.048
07/05/2022,14:33:44,0.048
07/05/2022,14:33:45,0.045
07/05/2022,14:33:46,0.047
07/05/2022,14:33:47,0.046
07/05/2022,14:33:48,0.046
07/05/2022,14:33:49,0.050
07/05/2022,14:33:50,0.040
07/05/2022,14:33:51,0.044
07/05/2022,14:33:52,0.052
07/05/2022,14:33:53,0.040
07/05/2022,14:33:54,0.039
07/05/2022,14:33:55,0.042
07/05/2022,14:33:56,0.038
07/05/2022,14:33:57,0.035
07/05/2022,14:33:58,0.040
07/05/2022,14:33:59,0.046
07/05/2022,14:34:00,0.042
07/05/2022,14:34:01,0.038
07/05/2022,14:34:02,0.031
07/05/2022,14:34:03,0.034
07/05/2022,14:34:04,0.035
07/05/2022,14:34:05,0.037
07/05/2022,14:34:06,0.037
07/05/2022,14:34:07,0.044
07/05/2022,14:34:08,0.035
07/05/2022,14:34:09,0.053
07/05/2022,14:34:10,0.041
07/05/2022,14:34:11,0.032
07/05/2022,14:34:12,0.034
07/05/2022,14:34:13,0.037
07/05/2022,14:34:14,0.033
07/05/2022,14:34:15,0.048
07/05/2022,14:34:16,0.038
07/05/2022,14:34:17,0.030

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704010
Test Name:,Test 3
Start Date:,07/05/2022
Start Time:,03:33:17
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.050
,Minimum:,0.034
,Time of Minimum:,03:34:11
,Date of Minimum:,07/05/2022
,Maximum:,0.071
,Time of Maximum:,03:34:13
,Date of Maximum:,07/05/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1.00
,Cal date:,07/05/2022
,Cal name:,Factory

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
07/05/2022,15:33:18,0.046
07/05/2022,15:33:19,0.057
07/05/2022,15:33:20,0.068
07/05/2022,15:33:21,0.051
07/05/2022,15:33:22,0.064
07/05/2022,15:33:23,0.048
07/05/2022,15:33:24,0.054
07/05/2022,15:33:25,0.046
07/05/2022,15:33:26,0.056
07/05/2022,15:33:27,0.061
07/05/2022,15:33:28,0.060
07/05/2022,15:33:29,0.050
07/05/2022,15:33:30,0.062
07/05/2022,15:33:31,0.067
07/05/2022,15:33:32,0.058
07/05/2022,15:33:33,0.047
07/05/2022,15:33:34,0.042
07/05/2022,15:33:35,0.046
07/05/2022,15:33:36,0.048
07/05/2022,15:33:37,0.041
07/05/2022,15:33:38,0.048
07/05/2022,15:33:39,0.042
07/05/2022,15:33:40,0.048
07/05/2022,15:33:41,0.039
07/05/2022,15:33:42,0.049
07/05/2022,15:33:43,0.050
07/05/2022,15:33:44,0.047
07/05/2022,15:33:45,0.042
07/05/2022,15:33:46,0.045
07/05/2022,15:33:47,0.048
07/05/2022,15:33:48,0.049
07/05/2022,15:33:49,0.049
07/05/2022,15:33:50,0.059
07/05/2022,15:33:51,0.055
07/05/2022,15:33:52,0.053
07/05/2022,15:33:53,0.048
07/05/2022,15:33:54,0.059
07/05/2022,15:33:55,0.043
07/05/2022,15:33:56,0.060
07/05/2022,15:33:57,0.062
07/05/2022,15:33:58,0.057
07/05/2022,15:33:59,0.052
07/05/2022,15:34:00,0.056
07/05/2022,15:34:01,0.044
07/05/2022,15:34:02,0.046
07/05/2022,15:34:03,0.060
07/05/2022,15:34:04,0.041
07/05/2022,15:34:05,0.042
07/05/2022,15:34:06,0.043
07/05/2022,15:34:07,0.047
07/05/2022,15:34:08,0.035
07/05/2022,15:34:09,0.044
07/05/2022,15:34:10,0.043
07/05/2022,15:34:11,0.034
07/05/2022,15:34:12,0.041
07/05/2022,15:34:13,0.071
07/05/2022,15:34:14,0.040
07/05/2022,15:34:15,0.046
07/05/2022,15:34:16,0.036
07/05/2022,15:34:17,0.036

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704010
Test Name:,Test 4
Start Date:,07/05/2022
Start Time:,04:33:17
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.056
,Minimum:,0.040
,Time of Minimum:,04:33:31
,Date of Minimum:,07/05/2022
,Maximum:,0.070
,Time of Maximum:,04:33:49
,Date of Maximum:,07/05/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1.00
,Cal date:,07/05/2022
,Cal name:,Factory

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
07/05/2022,16:33:18,0.067
07/05/2022,16:33:19,0.060
07/05/2022,16:33:20,0.058
07/05/2022,16:33:21,0.064
07/05/2022,16:33:22,0.054
07/05/2022,16:33:23,0.069
07/05/2022,16:33:24,0.066
07/05/2022,16:33:25,0.062
07/05/2022,16:33:26,0.058
07/05/2022,16:33:27,0.053
07/05/2022,16:33:28,0.060
07/05/2022,16:33:29,0.046
07/05/2022,16:33:30,0.045
07/05/2022,16:33:31,0.040
07/05/2022,16:33:32,0.042
07/05/2022,16:33:33,0.054
07/05/2022,16:33:34,0.067
07/05/2022,16:33:35,0.058
07/05/2022,16:33:36,0.052
07/05/2022,16:33:37,0.043
07/05/2022,16:33:38,0.052
07/05/2022,16:33:39,0.061
07/05/2022,16:33:40,0.050
07/05/2022,16:33:41,0.053
07/05/2022,16:33:42,0.049
07/05/2022,16:33:43,0.063
07/05/2022,16:33:44,0.047
07/05/2022,16:33:45,0.054
07/05/2022,16:33:46,0.059
07/05/2022,16:33:47,0.053
07/05/2022,16:33:48,0.059
07/05/2022,16:33:49,0.070
07/05/2022,16:33:50,0.059
07/05/2022,16:33:51,0.063
07/05/2022,16:33:52,0.058
07/05/2022,16:33:53,0.057
07/05/2022,16:33:54,0.062
07/05/2022,16:33:55,0.068
07/05/2022,16:33:56,0.056
07/05/2022,16:33:57,0.064
07/05/2022,16:33:58,0.066
07/05/2022,16:33:59,0.060
07/05/2022,16:34:00,0.063
07/05/2022,16:34:01,0.058
07/05/2022,16:34:02,0.052
07/05/2022,16:34:03,0.063
07/05/2022,16:34:04,0.047
07/05/2022,16:34:05,0.050
07/05/2022,16:34:06,0.049
07/05/2022,16:34:07,0.049
07/05/2022,16:34:08,0.061
07/05/2022,16:34:09,0.050
07/05/2022,16:34:10,0.059
07/05/2022,16:34:11,0.069
07/05/2022,16:34:12,0.052
07/05/2022,16:34:13,0.046
07/05/2022,16:34:14,0.047
07/05/2022,16:34:15,0.043
07/05/2022,16:34:16,0.061
07/05/2022,16:34:17,0.051

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704010
Test Name:,Test 5
Start Date:,07/05/2022
Start Time:,05:33:17
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,MC
,Units:,mg/m³
,Average:,0.069
,Minimum:,0.051
,Time of Minimum:,05:33:49
,Date of Minimum:,07/05/2022
,Maximum:,0.092
,Time of Maximum:,05:34:07
,Date of Maximum:,07/05/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1.00
,Cal date:,07/05/2022
,Cal name:,Factory

Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
07/05/2022,17:33:18,0.066
07/05/2022,17:33:19,0.082
07/05/2022,17:33:20,0.072
07/05/2022,17:33:21,0.068
07/05/2022,17:33:22,0.070
07/05/2022,17:33:23,0.063
07/05/2022,17:33:24,0.077
07/05/2022,17:33:25,0.066
07/05/2022,17:33:26,0.069
07/05/2022,17:33:27,0.065
07/05/2022,17:33:28,0.061
07/05/2022,17:33:29,0.077
07/05/2022,17:33:30,0.062
07/05/2022,17:33:31,0.075
07/05/2022,17:33:32,0.058
07/05/2022,17:33:33,0.075
07/05/2022,17:33:34,0.073
07/05/2022,17:33:35,0.065
07/05/2022,17:33:36,0.071
07/05/2022,17:33:37,0.063
07/05/2022,17:33:38,0.074
07/05/2022,17:33:39,0.083
07/05/2022,17:33:40,0.063
07/05/2022,17:33:41,0.064
07/05/2022,17:33:42,0.064
07/05/2022,17:33:43,0.066
07/05/2022,17:33:44,0.074
07/05/2022,17:33:45,0.068
07/05/2022,17:33:46,0.075
07/05/2022,17:33:47,0.065
07/05/2022,17:33:48,0.073
07/05/2022,17:33:49,0.051
07/05/2022,17:33:50,0.055
07/05/2022,17:33:51,0.064
07/05/2022,17:33:52,0.064
07/05/2022,17:33:53,0.071
07/05/2022,17:33:54,0.088
07/05/2022,17:33:55,0.076
07/05/2022,17:33:56,0.060
07/05/2022,17:33:57,0.069
07/05/2022,17:33:58,0.080
07/05/2022,17:33:59,0.056
