TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704010
Test Name:,Test 1
Start Date:,06/05/2020
Start Time:,07:56:23
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.006
,Minimum:,0
,Time of Minimum:,07:57:16
,Date of Minimum:,06/05/2020
,Maximum:,0.029
,Time of Maximum:,07:57:17
,Date of Maximum:,06/05/2020

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,06/05/2020
,Cal name:,USER1 

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
06/05/2020,07:56:24,0.002
06/05/2020,07:56:25,0.015
06/05/2020,07:56:26,0
06/05/2020,07:56:27,0
06/05/2020,07:56:28,0
06/05/2020,07:56:29,0
06/05/2020,07:56:30,0
06/05/2020,07:56:31,0
06/05/2020,07:56:32,0
06/05/2020,07:56:33,0
06/05/2020,07:56:34,0
06/05/2020,07:56:35,0.006
06/05/2020,07:56:36,0
06/05/2020,07:56:37,0.001
06/05/2020,07:56:38,0.002
06/05/2020,07:56:39,0.011
06/05/2020,07:56:40,0.008
06/05/2020,07:56:41,0.029
06/05/2020,07:56:42,0.012
06/05/2020,07:56:43,0.004
06/05/2020,07:56:44,0.004
06/05/2020,07:56:45,0.015
06/05/2020,07:56:46,0.001
06/05/2020,07:56:47,0.007
06/05/2020,07:56:48,0.016
06/05/2020,07:56:49,0.015
06/05/2020,07:56:50,0.007
06/05/2020,07:56:51,0.007
06/05/2020,07:56:52,0.004
06/05/2020,07:56:53,0.005
06/05/2020,07:56:54,0.012
06/05/2020,07:56:55,0.014
06/05/2020,07:56:56,0.004
06/05/2020,07:56:57,0.003
06/05/2020,07:56:58,0.005
06/05/2020,07:56:59,0.009
06/05/2020,07:57:00,0.002
06/05/2020,07:57:01,0.005
06/05/2020,07:57:02,0
06/05/2020,07:57:03,0
06/05/2020,07:57:04,0.01
06/05/2020,07:57:05,0
06/05/2020,07:57:06,0
06/05/2020,07:57:07,0
06/05/2020,07:57:08,0
06/05/2020,07:57:09,0
06/05/2020,07:57:10,0.001
06/05/2020,07:57:11,0.01
06/05/2020,07:57:12,0.01
06/05/2020,07:57:13,0.001
06/05/2020,07:57:14,0.005
06/05/2020,07:57:15,0
06/05/2020,07:57:16,0
06/05/2020,07:57:17,0.029
06/05/2020,07:57:18,0.012
06/05/2020,07:57:19,0.009
06/05/2020,07:57:20,0.007
06/05/2020,07:57:21,0.007
06/05/2020,07:57:22,0.011
06/05/2020,07:57:23,0.019

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704010
Test Name:,Test 2
Start Date:,06/05/2020
Start Time:,08:56:23
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.004
,Minimum:,0
,Time of Minimum:,08:57:23
,Date of Minimum:,06/05/2020
,Maximum:,0.025
,Time of Maximum:,08:57:18
,Date of Maximum:,06/05/2020

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,06/05/2020
,Cal name:,USER1 

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
06/05/2020,08:56:24,0.005
06/05/2020,08:56:25,0.009
06/05/2020,08:56:26,0
06/05/2020,08:56:27,0
06/05/2020,08:56:28,0.004
06/05/2020,08:56:29,0
06/05/2020,08:56:30,0
06/05/2020,08:56:31,0
06/05/2020,08:56:32,0
06/05/2020,08:56:33,0
06/05/2020,08:56:34,0
06/05/2020,08:56:35,0
06/05/2020,08:56:36,0
06/05/2020,08:56:37,0
06/05/2020,08:56:38,0
06/05/2020,08:56:39,0
06/05/2020,08:56:40,0
06/05/2020,08:56:41,0
06/05/2020,08:56:42,0.007
06/05/2020,08:56:43,0
06/05/2020,08:56:44,0
06/05/2020,08:56:45,0
06/05/2020,08:56:46,0.002
06/05/2020,08:56:47,0.013
06/05/2020,08:56:48,0
06/05/2020,08:56:49,0.008
06/05/2020,08:56:50,0.01
06/05/2020,08:56:51,0.011
06/05/2020,08:56:52,0.008
06/05/2020,08:56:53,0.007
06/05/2020,08:56:54,0.012
06/05/2020,08:56:55,0.015
06/05/2020,08:56:56,0.013
06/05/2020,08:56:57,0.009
06/05/2020,08:56:58,0.005
06/05/2020,08:56:59,0.007
06/05/2020,08:57:00,0.003
06/05/2020,08:57:01,0.007
06/05/2020,08:57:02,0.005
06/05/2020,08:57:03,0.008
06/05/2020,08:57:04,0.009
06/05/2020,08:57:05,0.011
06/05/2020,08:57:06,0
06/05/2020,08:57:07,0.007
06/05/2020,08:57:08,0.006
06/05/2020,08:57:09,0
06/05/2020,08:57:10,0.003
06/05/2020,08:57:11,0
06/05/2020,08:57:12,0.001
06/05/2020,08:57:13,0.016
06/05/2020,08:57:14,0
06/05/2020,08:57:15,0.007
06/05/2020,08:57:16,0
06/05/2020,08:57:17,0
06/05/2020,08:57:18,0.025
06/05/2020,08:57:19,0
06/05/2020,08:57:20,0
06/05/2020,08:57:21,0
06/05/2020,08:57:22,0
06/05/2020,08:57:23,0

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704010
Test Name:,Test 3
Start Date:,06/05/2020
Start Time:,09:56:23
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.002
,Minimum:,0
,Time of Minimum:,09:57:22
,Date of Minimum:,06/05/2020
,Maximum:,0.018
,Time of Maximum:,09:56:47
,Date of Maximum:,06/05/2020

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,06/05/2020
,Cal name:,USER1 

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
06/05/2020,09:56:24,0.005
06/05/2020,09:56:25,0.004
06/05/2020,09:56:26,0.006
06/05/2020,09:56:27,0
06/05/2020,09:56:28,0.003
06/05/2020,09:56:29,0
06/05/2020,09:56:30,0
06/05/2020,09:56:31,0
06/05/2020,09:56:32,0
06/05/2020,09:56:33,0
06/05/2020,09:56:34,0
06/05/2020,09:56:35,0
06/05/2020,09:56:36,0
06/05/2020,09:56:37,0
06/05/2020,09:56:38,0.005
06/05/2020,09:56:39,0
06/05/2020,09:56:40,0
06/05/2020,09:56:41,0
06/05/2020,09:56:42,0.006
06/05/2020,09:56:43,0
06/05/2020,09:56:44,0.001
06/05/2020,09:56:45,0.006
06/05/2020,09:56:46,0
06/05/2020,09:56:47,0.018
06/05/2020,09:56:48,0.002
06/05/2020,09:56:49,0
06/05/2020,09:56:50,0
06/05/2020,09:56:51,0
06/05/2020,09:56:52,0
06/05/2020,09:56:53,0.003
06/05/2020,09:56:54,0
06/05/2020,09:56:55,0
06/05/2020,09:56:56,0
06/05/2020,09:56:57,0
06/05/2020,09:56:58,0
06/05/2020,09:56:59,0
06/05/2020,09:57:00,0
06/05/2020,09:57:01,0.006
