TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704010
Test Name:,Test 1
Start Date:,07/21/2020
Start Time:,11:34:49
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.061
,Minimum:,0.023
,Time of Minimum:,11:35:07
,Date of Minimum:,07/21/2020
,Maximum:,0.081
,Time of Maximum:,11:35:21
,Date of Maximum:,07/21/2020

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,07/21/2020
,Cal name:,USER1 

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
07/21/2020,11:34:50,0.055
07/21/2020,11:34:51,0.065
07/21/2020,11:34:52,0.058
07/21/2020,11:34:53,0.072
07/21/2020,11:34:54,0.059
07/21/2020,11:34:55,0.067
07/21/2020,11:34:56,0.057
07/21/2020,11:34:57,0.059
07/21/2020,11:34:58,0.068
07/21/2020,11:34:59,0.071
07/21/2020,11:35:00,0.054
07/21/2020,11:35:01,0.065
07/21/2020,11:35:02,0.077
07/21/2020,11:35:03,0.059
07/21/2020,11:35:04,0.068
07/21/2020,11:35:05,0.043
07/21/2020,11:35:06,0.045
07/21/2020,11:35:07,0.023
07/21/2020,11:35:08,0.047
07/21/2020,11:35:09,0.044
07/21/2020,11:35:10,0.054
07/21/2020,11:35:11,0.063
07/21/2020,11:35:12,0.05
07/21/2020,11:35:13,0.062
07/21/2020,11:35:14,0.057
07/21/2020,11:35:15,0.07
07/21/2020,11:35:16,0.059
07/21/2020,11:35:17,0.075
07/21/2020,11:35:18,0.066
07/21/2020,11:35:19,0.079
07/21/2020,11:35:20,0.058
07/21/2020,11:35:21,0.081
07/21/2020,11:35:22,0.063
07/21/2020,11:35:23,0.062
07/21/2020,11:35:24,0.046
07/21/2020,11:35:25,0.052
07/21/2020,11:35:26,0.06
07/21/2020,11:35:27,0.053
07/21/2020,11:35:28,0.051
07/21/2020,11:35:29,0.063
07/21/2020,11:35:30,0.052
07/21/2020,11:35:31,0.068
07/21/2020,11:35:32,0.072
07/21/2020,11:35:33,0.058
07/21/2020,11:35:34,0.058
07/21/2020,11:35:35,0.072
07/21/2020,11:35:36,0.06
07/21/2020,11:35:37,0.064
07/21/2020,11:35:38,0.053
07/21/2020,11:35:39,0.07
07/21/2020,11:35:40,0.068
07/21/2020,11:35:41,0.053
07/21/2020,11:35:42,0.048
07/21/2020,11:35:43,0.07
07/21/2020,11:35:44,0.066
07/21/2020,11:35:45,0.05
07/21/2020,11:35:46,0.052
07/21/2020,11:35:47,0.068
07/21/2020,11:35:48,0.074
07/21/2020,11:35:49,0.076

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704010
Test Name:,Test 2
Start Date:,07/21/2020
Start Time:,12:34:49
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.059
,Minimum:,0.044
,Time of Minimum:,12:35:24
,Date of Minimum:,07/21/2020
,Maximum:,0.09
,Time of Maximum:,12:35:42
,Date of Maximum:,07/21/2020

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,07/21/2020
,Cal name:,USER1 

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
07/21/2020,12:34:50,0.07
07/21/2020,12:34:51,0.049
07/21/2020,12:34:52,0.054
07/21/2020,12:34:53,0.047
07/21/2020,12:34:54,0.049
07/21/2020,12:34:55,0.047
07/21/2020,12:34:56,0.048
07/21/2020,12:34:57,0.064
07/21/2020,12:34:58,0.056
07/21/2020,12:34:59,0.06
07/21/2020,12:35:00,0.047
07/21/2020,12:35:01,0.061
07/21/2020,12:35:02,0.056
07/21/2020,12:35:03,0.058
07/21/2020,12:35:04,0.057
07/21/2020,12:35:05,0.071
07/21/2020,12:35:06,0.052
07/21/2020,12:35:07,0.051
07/21/2020,12:35:08,0.061
07/21/2020,12:35:09,0.051
07/21/2020,12:35:10,0.061
07/21/2020,12:35:11,0.045
07/21/2020,12:35:12,0.049
07/21/2020,12:35:13,0.056
07/21/2020,12:35:14,0.048
07/21/2020,12:35:15,0.05
07/21/2020,12:35:16,0.049
07/21/2020,12:35:17,0.064
07/21/2020,12:35:18,0.05
07/21/2020,12:35:19,0.054
07/21/2020,12:35:20,0.059
07/21/2020,12:35:21,0.062
07/21/2020,12:35:22,0.067
07/21/2020,12:35:23,0.062
07/21/2020,12:35:24,0.044
07/21/2020,12:35:25,0.056
07/21/2020,12:35:26,0.06
07/21/2020,12:35:27,0.055
07/21/2020,12:35:28,0.07
07/21/2020,12:35:29,0.072
07/21/2020,12:35:30,0.06
07/21/2020,12:35:31,0.054
07/21/2020,12:35:32,0.058
07/21/2020,12:35:33,0.053
07/21/2020,12:35:34,0.084
07/21/2020,12:35:35,0.059
07/21/2020,12:35:36,0.068
07/21/2020,12:35:37,0.065
07/21/2020,12:35:38,0.068
07/21/2020,12:35:39,0.062
07/21/2020,12:35:40,0.067
07/21/2020,12:35:41,0.068
07/21/2020,12:35:42,0.09
07/21/2020,12:35:43,0.078
07/21/2020,12:35:44,0.064
07/21/2020,12:35:45,0.062
07/21/2020,12:35:46,0.059
07/21/2020,12:35:47,0.062
07/21/2020,12:35:48,0.054
07/21/2020,12:35:49,0.055

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704010
Test Name:,Test 3
Start Date:,07/21/2020
Start Time:,01:34:49
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.061
,Minimum:,0.042
,Time of Minimum:,01:35:00
,Date of Minimum:,07/21/2020
,Maximum:,0.086
,Time of Maximum:,01:35:23
,Date of Maximum:,07/21/2020

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,07/21/2020
,Cal name:,USER1 

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
07/21/2020,13:34:50,0.051
07/21/2020,13:34:51,0.061
07/21/2020,13:34:52,0.061
07/21/2020,13:34:53,0.05
07/21/2020,13:34:54,0.055
07/21/2020,13:34:55,0.061
07/21/2020,13:34:56,0.053
07/21/2020,13:34:57,0.073
07/21/2020,13:34:58,0.059
07/21/2020,13:34:59,0.052
07/21/2020,13:35:00,0.042
07/21/2020,13:35:01,0.054
07/21/2020,13:35:02,0.065
07/21/2020,13:35:03,0.055
07/21/2020,13:35:04,0.07
07/21/2020,13:35:05,0.051
07/21/2020,13:35:06,0.051
07/21/2020,13:35:07,0.056
07/21/2020,13:35:08,0.071
07/21/2020,13:35:09,0.07
07/21/2020,13:35:10,0.064
07/21/2020,13:35:11,0.049
07/21/2020,13:35:12,0.06
07/21/2020,13:35:13,0.072
07/21/2020,13:35:14,0.059
07/21/2020,13:35:15,0.059
07/21/2020,13:35:16,0.069
07/21/2020,13:35:17,0.065
07/21/2020,13:35:18,0.066
07/21/2020,13:35:19,0.083
07/21/2020,13:35:20,0.062
07/21/2020,13:35:21,0.063
07/21/2020,13:35:22,0.06
07/21/2020,13:35:23,0.086
07/21/2020,13:35:24,0.069
07/21/2020,13:35:25,0.066
07/21/2020,13:35:26,0.064
07/21/2020,13:35:27,0.051
07/21/2020,13:35:28,0.064
07/21/2020,13:35:29,0.063
07/21/2020,13:35:30,0.052
07/21/2020,13:35:31,0.058
07/21/2020,13:35:32,0.055
07/21/2020,13:35:33,0.053
07/21/2020,13:35:34,0.062
07/21/2020,13:35:35,0.051
07/21/2020,13:35:36,0.07
07/21/2020,13:35:37,0.057
07/21/2020,13:35:38,0.071
07/21/2020,13:35:39,0.047
07/21/2020,13:35:40,0.055
07/21/2020,13:35:41,0.054
07/21/2020,13:35:42,0.066
07/21/2020,13:35:43,0.058
07/21/2020,13:35:44,0.055
07/21/2020,13:35:45,0.066
07/21/2020,13:35:46,0.068
07/21/2020,13:35:47,0.063
07/21/2020,13:35:48,0.073
07/21/2020,13:35:49,0.059

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704010
Test Name:,Test 4
Start Date:,07/21/2020
Start Time:,02:34:49
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.058
,Minimum:,0.043
,Time of Minimum:,02:35:25
,Date of Minimum:,07/21/2020
,Maximum:,0.072
,Time of Maximum:,02:35:41
,Date of Maximum:,07/21/2020

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,07/21/2020
,Cal name:,USER1 

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
07/21/2020,14:34:50,0.067
07/21/2020,14:34:51,0.052
07/21/2020,14:34:52,0.065
07/21/2020,14:34:53,0.054
07/21/2020,14:34:54,0.065
07/21/2020,14:34:55,0.061
07/21/2020,14:34:56,0.059
07/21/2020,14:34:57,0.053
07/21/2020,14:34:58,0.068
07/21/2020,14:34:59,0.055
07/21/2020,14:35:00,0.052
07/21/2020,14:35:01,0.051
07/21/2020,14:35:02,0.055
07/21/2020,14:35:03,0.05
07/21/2020,14:35:04,0.051
07/21/2020,14:35:05,0.051
07/21/2020,14:35:06,0.051
07/21/2020,14:35:07,0.051
07/21/2020,14:35:08,0.055
07/21/2020,14:35:09,0.059
07/21/2020,14:35:10,0.056
07/21/2020,14:35:11,0.062
07/21/2020,14:35:12,0.053
