TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704010
Test Name:,Test 1
Start Date:,02/26/2021
Start Time:,01:12:06
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.014
,Minimum:,0
,Time of Minimum:,01:12:37
,Date of Minimum:,02/26/2021
,Maximum:,0.04
,Time of Maximum:,01:12:49
,Date of Maximum:,02/26/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,02/26/2021
,Cal name:,USER1 

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
02/26/2021,13:12:07,0
02/26/2021,13:12:08,0.006
02/26/2021,13:12:09,0.009
02/26/2021,13:12:10,0.01
02/26/2021,13:12:11,0.008
02/26/2021,13:12:12,0.008
02/26/2021,13:12:13,0.017
02/26/2021,13:12:14,0.01
02/26/2021,13:12:15,0.008
02/26/2021,13:12:16,0.016
02/26/2021,13:12:17,0.007
02/26/2021,13:12:18,0.006
02/26/2021,13:12:19,0.005
02/26/2021,13:12:20,0.008
02/26/2021,13:12:21,0.006
02/26/2021,13:12:22,0.008
02/26/2021,13:12:23,0.009
02/26/2021,13:12:24,0.006
02/26/2021,13:12:25,0.007
02/26/2021,13:12:26,0.006
02/26/2021,13:12:27,0.017
02/26/2021,13:12:28,0.016
02/26/2021,13:12:29,0.008
02/26/2021,13:12:30,0.013
02/26/2021,13:12:31,0.012
02/26/2021,13:12:32,0
02/26/2021,13:12:33,0.013
02/26/2021,13:12:34,0.013
02/26/2021,13:12:35,0.019
02/26/2021,13:12:36,0
02/26/2021,13:12:37,0
02/26/2021,13:12:38,0.035
02/26/2021,13:12:39,0.02
02/26/2021,13:12:40,0.031
02/26/2021,13:12:41,0.023
02/26/2021,13:12:42,0.024
02/26/2021,13:12:43,0.026
02/26/2021,13:12:44,0.027
02/26/2021,13:12:45,0.027
02/26/2021,13:12:46,0.025
02/26/2021,13:12:47,0.024
02/26/2021,13:12:48,0.006
02/26/2021,13:12:49,0.04
02/26/2021,13:12:50,0.022
02/26/2021,13:12:51,0.023
02/26/2021,13:12:52,0.03
02/26/2021,13:12:53,0.03
02/26/2021,13:12:54,0.024
02/26/2021,13:12:55,0.015
02/26/2021,13:12:56,0.02
02/26/2021,13:12:57,0.022
02/26/2021,13:12:58,0.011
02/26/2021,13:12:59,0.019
02/26/2021,13:13:00,0.009
02/26/2021,13:13:01,0.009
02/26/2021,13:13:02,0.007
02/26/2021,13:13:03,0.007
02/26/2021,13:13:04,0.005
02/26/2021,13:13:05,0.004
02/26/2021,13:13:06,0.015

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704010
Test Name:,Test 2
Start Date:,02/26/2021
Start Time:,02:12:07
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.015
,Minimum:,0.004
,Time of Minimum:,02:12:41
,Date of Minimum:,02/26/2021
,Maximum:,0.03
,Time of Maximum:,02:13:07
,Date of Maximum:,02/26/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,02/26/2021
,Cal name:,USER1 

Date,Time,Concentration
