TrakPro Version 5.0.0.24 ASCII Data File,,
,,
Instrument Name:,SidePak Aerosol Monitor,
Model Number:,AM520,
Serial Number:,5201701009,
Test Name:,Test 1,
Start Date:,1/25/2022,
Start Time:,2:44:22,
Duration (dd:hh:mm:ss):,00:00:01:00,
Log Interval (mm:ss):,0:01,
Number of points:,60,
Description:,,
,,
Statistics Channel: ,Aerosol,
,Units:,mg/m³
,Average:,0.06
,Minimum:,0
,Time of Minimum:,2:44:54
,Date of Minimum:,1/25/2022
,Maximum:,0.167
,Time of Maximum:,2:44:26
,Date of Maximum:,1/25/2022
,,
,TWA:,N/A
,,
Calibration Sensor: ,Aerosol,
,Cal factor:,1
,Cal date:,1/25/2022
,Cal name:,Factory
,,
Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
1/25/2022,14:44:23,0.055
1/25/2022,14:44:24,0.055
1/25/2022,14:44:25,0.062
1/25/2022,14:44:26,0.167
1/25/2022,14:44:27,0.069
1/25/2022,14:44:28,0.066
1/25/2022,14:44:29,0.06
1/25/2022,14:44:30,0.052
1/25/2022,14:44:31,0.067
1/25/2022,14:44:32,0.076
1/25/2022,14:44:33,0.064
1/25/2022,14:44:34,0.058
1/25/2022,14:44:35,0.06
1/25/2022,14:44:36,0.049
1/25/2022,14:44:37,0.054
1/25/2022,14:44:38,0.076
1/25/2022,14:44:39,0.099
1/25/2022,14:44:40,0.052
1/25/2022,14:44:41,0.045
1/25/2022,14:44:42,0.056
1/25/2022,14:44:43,0.066
1/25/2022,14:44:44,0.053
1/25/2022,14:44:45,0.066
1/25/2022,14:44:46,0.057
1/25/2022,14:44:47,0.055
1/25/2022,14:44:48,0.059
1/25/2022,14:44:49,0.064
1/25/2022,14:44:50,0.068
1/25/2022,14:44:51,0.045
1/25/2022,14:44:52,0.076
1/25/2022,14:44:53,0.051
1/25/2022,14:44:54,0
1/25/2022,14:44:55,0.054
1/25/2022,14:44:56,0.047
1/25/2022,14:44:57,0.057
1/25/2022,14:44:58,0.077
1/25/2022,14:44:59,0.096
1/25/2022,14:45:00,0.076
1/25/2022,14:45:01,0.059
1/25/2022,14:45:02,0.052
1/25/2022,14:45:03,0.035
1/25/2022,14:45:04,0.059
1/25/2022,14:45:05,0.063
1/25/2022,14:45:06,0.055
1/25/2022,14:45:07,0.046
1/25/2022,14:45:08,0.051
1/25/2022,14:45:09,0.052
1/25/2022,14:45:10,0.062
1/25/2022,14:45:11,0.072
1/25/2022,14:45:12,0.042
1/25/2022,14:45:13,0.04
1/25/2022,14:45:14,0.046
1/25/2022,14:45:15,0.049
1/25/2022,14:45:16,0.044
1/25/2022,14:45:17,0.054
1/25/2022,14:45:18,0.058
1/25/2022,14:45:19,0.058
1/25/2022,14:45:20,0.11
1/25/2022,14:45:21,0.056
1/25/2022,14:45:22,0.052
,,
Instrument Name:,SidePak Aerosol Monitor,
Model Number:,AM520,
Serial Number:,5201701009,
Test Name:,Test 2,
Start Date:,1/25/2022,
Start Time:,3:44:23,
Duration (dd:hh:mm:ss):,00:00:01:00,
Log Interval (mm:ss):,0:01,
Number of points:,60,
Description:,,
,,
Statistics Channel: ,Aerosol,
,Units:,mg/m³
,Average:,0.053
,Minimum:,0.039
,Time of Minimum:,3:45:18
,Date of Minimum:,1/25/2022
,Maximum:,0.101
,Time of Maximum:,3:44:28
,Date of Maximum:,1/25/2022
,,
,TWA:,N/A
,,
Calibration Sensor: ,Aerosol,
,Cal factor:,1
,Cal date:,1/25/2022
,Cal name:,Factory
,,
Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
1/25/2022,15:44:24,0.062
1/25/2022,15:44:25,0.049
1/25/2022,15:44:26,0.062
