TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201701009
Test Name:,Test 1
Start Date:,10/21/2021
Start Time:,02:03:21
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.045
,Minimum:,0.005
,Time of Minimum:,02:03:27
,Date of Minimum:,10/21/2021
,Maximum:,0.077
,Time of Maximum:,02:04:18
,Date of Maximum:,10/21/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,10/21/2021
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
10/21/2021,14:03:22,0.05
10/21/2021,14:03:23,0.046
10/21/2021,14:03:24,0.035
10/21/2021,14:03:25,0.042
10/21/2021,14:03:26,0.073
10/21/2021,14:03:27,0.005
10/21/2021,14:03:28,0.023
10/21/2021,14:03:29,0.043
10/21/2021,14:03:30,0.029
10/21/2021,14:03:31,0.042
10/21/2021,14:03:32,0.045
10/21/2021,14:03:33,0.064
10/21/2021,14:03:34,0.058
10/21/2021,14:03:35,0.043
10/21/2021,14:03:36,0.05
10/21/2021,14:03:37,0.056
10/21/2021,14:03:38,0.054
10/21/2021,14:03:39,0.063
10/21/2021,14:03:40,0.048
10/21/2021,14:03:41,0.052
10/21/2021,14:03:42,0.048
10/21/2021,14:03:43,0.056
10/21/2021,14:03:44,0.054
10/21/2021,14:03:45,0.051
10/21/2021,14:03:46,0.057
10/21/2021,14:03:47,0.04
10/21/2021,14:03:48,0.044
10/21/2021,14:03:49,0.044
10/21/2021,14:03:50,0.047
10/21/2021,14:03:51,0.036
10/21/2021,14:03:52,0.035
10/21/2021,14:03:53,0.035
10/21/2021,14:03:54,0.056
10/21/2021,14:03:55,0.036
10/21/2021,14:03:56,0.046
10/21/2021,14:03:57,0.032
10/21/2021,14:03:58,0.023
10/21/2021,14:03:59,0.035
10/21/2021,14:04:00,0.029
10/21/2021,14:04:01,0.049
10/21/2021,14:04:02,0.032
10/21/2021,14:04:03,0.026
10/21/2021,14:04:04,0.027
10/21/2021,14:04:05,0.022
10/21/2021,14:04:06,0.033
10/21/2021,14:04:07,0.032
10/21/2021,14:04:08,0.038
10/21/2021,14:04:09,0.035
10/21/2021,14:04:10,0.04
10/21/2021,14:04:11,0.038
10/21/2021,14:04:12,0.037
10/21/2021,14:04:13,0.044
10/21/2021,14:04:14,0.049
10/21/2021,14:04:15,0.056
10/21/2021,14:04:16,0.06
10/21/2021,14:04:17,0.06
10/21/2021,14:04:18,0.077
10/21/2021,14:04:19,0.066
10/21/2021,14:04:20,0.059
10/21/2021,14:04:21,0.067

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201701009
Test Name:,Test 2
Start Date:,10/21/2021
Start Time:,03:03:22
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.057
,Minimum:,0.027
