TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201701009
Test Name:,Test 1
Start Date:,04/16/2021
Start Time:,11:14:09
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.007
,Minimum:,0
,Time of Minimum:,11:14:56
,Date of Minimum:,04/16/2021
,Maximum:,0.066
,Time of Maximum:,11:14:51
,Date of Maximum:,04/16/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,04/16/2021
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
04/16/2021,11:14:10,0
04/16/2021,11:14:11,0
04/16/2021,11:14:12,0
04/16/2021,11:14:13,0
04/16/2021,11:14:14,0
04/16/2021,11:14:15,0
04/16/2021,11:14:16,0.005
04/16/2021,11:14:17,0
04/16/2021,11:14:18,0.001
04/16/2021,11:14:19,0
04/16/2021,11:14:20,0.015
04/16/2021,11:14:21,0
04/16/2021,11:14:22,0
04/16/2021,11:14:23,0
04/16/2021,11:14:24,0
04/16/2021,11:14:25,0
04/16/2021,11:14:26,0
04/16/2021,11:14:27,0
04/16/2021,11:14:28,0
04/16/2021,11:14:29,0
04/16/2021,11:14:30,0.001
04/16/2021,11:14:31,0.002
04/16/2021,11:14:32,0
04/16/2021,11:14:33,0.002
04/16/2021,11:14:34,0
04/16/2021,11:14:35,0
04/16/2021,11:14:36,0
04/16/2021,11:14:37,0
04/16/2021,11:14:38,0.003
04/16/2021,11:14:39,0.003
04/16/2021,11:14:40,0
04/16/2021,11:14:41,0
04/16/2021,11:14:42,0
04/16/2021,11:14:43,0
04/16/2021,11:14:44,0.002
04/16/2021,11:14:45,0
04/16/2021,11:14:46,0.005
04/16/2021,11:14:47,0
04/16/2021,11:14:48,0
04/16/2021,11:14:49,0
