TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201701009
Test Name:,Test 1
Start Date:,02/08/2022
Start Time:,01:55:20
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.026
,Minimum:,0
,Time of Minimum:,01:55:26
,Date of Minimum:,02/08/2022
,Maximum:,0.237
,Time of Maximum:,01:55:36
,Date of Maximum:,02/08/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,02/08/2022
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
02/08/2022,13:55:21,0
02/08/2022,13:55:22,0.009
02/08/2022,13:55:23,0.025
02/08/2022,13:55:24,0.014
02/08/2022,13:55:25,0.041
02/08/2022,13:55:26,0
02/08/2022,13:55:27,0.009
02/08/2022,13:55:28,0.009
02/08/2022,13:55:29,0.01
02/08/2022,13:55:30,0.024
02/08/2022,13:55:31,0.024
02/08/2022,13:55:32,0.025
02/08/2022,13:55:33,0.016
02/08/2022,13:55:34,0.017
02/08/2022,13:55:35,0.023
02/08/2022,13:55:36,0.237
02/08/2022,13:55:37,0.065
02/08/2022,13:55:38,0.03
02/08/2022,13:55:39,0.023
02/08/2022,13:55:40,0.022
02/08/2022,13:55:41,0.027
02/08/2022,13:55:42,0.025
02/08/2022,13:55:43,0.027
02/08/2022,13:55:44,0.032
02/08/2022,13:55:45,0.029
02/08/2022,13:55:46,0.033
02/08/2022,13:55:47,0.029
02/08/2022,13:55:48,0.027
02/08/2022,13:55:49,0.025
02/08/2022,13:55:50,0.029
02/08/2022,13:55:51,0.032
02/08/2022,13:55:52,0.033
02/08/2022,13:55:53,0.032
02/08/2022,13:55:54,0.032
02/08/2022,13:55:55,0.036
02/08/2022,13:55:56,0.024
02/08/2022,13:55:57,0.025
02/08/2022,13:55:58,0.024
02/08/2022,13:55:59,0.023
02/08/2022,13:56:00,0.026
02/08/2022,13:56:01,0.026
02/08/2022,13:56:02,0.016
02/08/2022,13:56:03,0.021
02/08/2022,13:56:04,0.022
02/08/2022,13:56:05,0.019
02/08/2022,13:56:06,0.016
02/08/2022,13:56:07,0.022
