TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201701009
Test Name:,Test 1
Start Date:,03/29/2022
Start Time:,01:01:38
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.025
,Minimum:,0
,Time of Minimum:,01:02:03
,Date of Minimum:,03/29/2022
,Maximum:,0.063
,Time of Maximum:,01:01:43
,Date of Maximum:,03/29/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,03/29/2022
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
03/29/2022,13:01:39,0.024
03/29/2022,13:01:40,0.055
03/29/2022,13:01:41,0.034
03/29/2022,13:01:42,0.031
03/29/2022,13:01:43,0.063
03/29/2022,13:01:44,0.035
03/29/2022,13:01:45,0.038
03/29/2022,13:01:46,0.036
03/29/2022,13:01:47,0.035
03/29/2022,13:01:48,0.04
03/29/2022,13:01:49,0.041
03/29/2022,13:01:50,0.028
03/29/2022,13:01:51,0.026
03/29/2022,13:01:52,0.027
03/29/2022,13:01:53,0.026
03/29/2022,13:01:54,0.027
03/29/2022,13:01:55,0.01
03/29/2022,13:01:56,0.019
03/29/2022,13:01:57,0.02
03/29/2022,13:01:58,0.014
03/29/2022,13:01:59,0.014
03/29/2022,13:02:00,0
03/29/2022,13:02:01,0.006
03/29/2022,13:02:02,0.006
03/29/2022,13:02:03,0
03/29/2022,13:02:04,0.007
03/29/2022,13:02:05,0.014
03/29/2022,13:02:06,0.021
03/29/2022,13:02:07,0.02
03/29/2022,13:02:08,0.03
03/29/2022,13:02:09,0.037
03/29/2022,13:02:10,0.044
03/29/2022,13:02:11,0.034
03/29/2022,13:02:12,0.043
03/29/2022,13:02:13,0.049
03/29/2022,13:02:14,0.043
03/29/2022,13:02:15,0.047
03/29/2022,13:02:16,0.047
03/29/2022,13:02:17,0.039
03/29/2022,13:02:18,0.049
03/29/2022,13:02:19,0.038
03/29/2022,13:02:20,0.036
03/29/2022,13:02:21,0.032
03/29/2022,13:02:22,0.038
03/29/2022,13:02:23,0.024
03/29/2022,13:02:24,0.016
03/29/2022,13:02:25,0.016
03/29/2022,13:02:26,0.016
03/29/2022,13:02:27,0.017
03/29/2022,13:02:28,0.008
03/29/2022,13:02:29,0.004
03/29/2022,13:02:30,0.001
03/29/2022,13:02:31,0.002
03/29/2022,13:02:32,0.013
03/29/2022,13:02:33,0.006
03/29/2022,13:02:34,0.001
03/29/2022,13:02:35,0.008
03/29/2022,13:02:36,0.017
03/29/2022,13:02:37,0.028
03/29/2022,13:02:38,0.014

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201701009
Test Name:,Test 2
Start Date:,03/29/2022
Start Time:,02:01:39
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.031
,Minimum:,0
,Time of Minimum:,02:01:58
,Date of Minimum:,03/29/2022
,Maximum:,0.052
,Time of Maximum:,02:01:57
,Date of Maximum:,03/29/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,03/29/2022
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
03/29/2022,14:01:40,0.043
03/29/2022,14:01:41,0.043
03/29/2022,14:01:42,0.044
03/29/2022,14:01:43,0.037
03/29/2022,14:01:44,0.038
03/29/2022,14:01:45,0.05
03/29/2022,14:01:46,0.032
03/29/2022,14:01:47,0.046
03/29/2022,14:01:48,0.033
03/29/2022,14:01:49,0.045
03/29/2022,14:01:50,0.017
03/29/2022,14:01:51,0.014
03/29/2022,14:01:52,0.009
03/29/2022,14:01:53,0.003
03/29/2022,14:01:54,0.013
03/29/2022,14:01:55,0
03/29/2022,14:01:56,0
03/29/2022,14:01:57,0.052
03/29/2022,14:01:58,0
03/29/2022,14:01:59,0.001
03/29/2022,14:02:00,0.021
03/29/2022,14:02:01,0.001
03/29/2022,14:02:02,0.006
03/29/2022,14:02:03,0.035
03/29/2022,14:02:04,0.003
03/29/2022,14:02:05,0.02
03/29/2022,14:02:06,0.015
