TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705005
Test Name:,Test 1
Start Date:,05/04/2021
Start Time:,12:38:04
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.055
,Minimum:,0.031
,Time of Minimum:,12:39:04
,Date of Minimum:,05/04/2021
,Maximum:,0.082
,Time of Maximum:,12:38:11
,Date of Maximum:,05/04/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,05/04/2021
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
05/04/2021,12:38:05,0.042
05/04/2021,12:38:06,0.046
05/04/2021,12:38:07,0.049
05/04/2021,12:38:08,0.038
05/04/2021,12:38:09,0.046
05/04/2021,12:38:10,0.054
05/04/2021,12:38:11,0.082
05/04/2021,12:38:12,0.043
05/04/2021,12:38:13,0.045
05/04/2021,12:38:14,0.057
05/04/2021,12:38:15,0.057
05/04/2021,12:38:16,0.047
05/04/2021,12:38:17,0.05
05/04/2021,12:38:18,0.042
05/04/2021,12:38:19,0.073
05/04/2021,12:38:20,0.045
05/04/2021,12:38:21,0.069
05/04/2021,12:38:22,0.052
05/04/2021,12:38:23,0.053
05/04/2021,12:38:24,0.049
05/04/2021,12:38:25,0.052
05/04/2021,12:38:26,0.072
05/04/2021,12:38:27,0.045
05/04/2021,12:38:28,0.054
05/04/2021,12:38:29,0.057
05/04/2021,12:38:30,0.046
05/04/2021,12:38:31,0.057
05/04/2021,12:38:32,0.052
05/04/2021,12:38:33,0.06
05/04/2021,12:38:34,0.054
05/04/2021,12:38:35,0.058
05/04/2021,12:38:36,0.057
05/04/2021,12:38:37,0.067
05/04/2021,12:38:38,0.056
05/04/2021,12:38:39,0.081
05/04/2021,12:38:40,0.06
05/04/2021,12:38:41,0.058
05/04/2021,12:38:42,0.068
05/04/2021,12:38:43,0.053
05/04/2021,12:38:44,0.076
05/04/2021,12:38:45,0.059
05/04/2021,12:38:46,0.054
05/04/2021,12:38:47,0.063
05/04/2021,12:38:48,0.062
05/04/2021,12:38:49,0.049
05/04/2021,12:38:50,0.075
05/04/2021,12:38:51,0.069
05/04/2021,12:38:52,0.057
05/04/2021,12:38:53,0.063
05/04/2021,12:38:54,0.057
05/04/2021,12:38:55,0.068
05/04/2021,12:38:56,0.052
05/04/2021,12:38:57,0.061
05/04/2021,12:38:58,0.042
05/04/2021,12:38:59,0.044
05/04/2021,12:39:00,0.062
05/04/2021,12:39:01,0.038
