TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705006
Test Name:,Test 1
Start Date:,10/21/2021
Start Time:,01:22:52
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.131
,Minimum:,0.103
,Time of Minimum:,01:23:26
,Date of Minimum:,10/21/2021
,Maximum:,0.18
,Time of Maximum:,01:23:21
,Date of Maximum:,10/21/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,10/21/2021
,Cal name:,USER5 

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
10/21/2021,13:22:53,0.168
10/21/2021,13:22:54,0.131
10/21/2021,13:22:55,0.129
10/21/2021,13:22:56,0.157
10/21/2021,13:22:57,0.137
10/21/2021,13:22:58,0.144
10/21/2021,13:22:59,0.133
10/21/2021,13:23:00,0.127
10/21/2021,13:23:01,0.134
10/21/2021,13:23:02,0.123
10/21/2021,13:23:03,0.132
10/21/2021,13:23:04,0.134
10/21/2021,13:23:05,0.125
10/21/2021,13:23:06,0.128
10/21/2021,13:23:07,0.137
10/21/2021,13:23:08,0.137
10/21/2021,13:23:09,0.124
10/21/2021,13:23:10,0.145
10/21/2021,13:23:11,0.14
10/21/2021,13:23:12,0.138
10/21/2021,13:23:13,0.139
10/21/2021,13:23:14,0.123
10/21/2021,13:23:15,0.119
10/21/2021,13:23:16,0.128
10/21/2021,13:23:17,0.165
10/21/2021,13:23:18,0.146
10/21/2021,13:23:19,0.145
10/21/2021,13:23:20,0.149
10/21/2021,13:23:21,0.18
10/21/2021,13:23:22,0.148
10/21/2021,13:23:23,0.13
10/21/2021,13:23:24,0.118
10/21/2021,13:23:25,0.127
10/21/2021,13:23:26,0.103
10/21/2021,13:23:27,0.114
10/21/2021,13:23:28,0.109
10/21/2021,13:23:29,0.111
10/21/2021,13:23:30,0.12
10/21/2021,13:23:31,0.108
10/21/2021,13:23:32,0.115
10/21/2021,13:23:33,0.117
10/21/2021,13:23:34,0.121
10/21/2021,13:23:35,0.144
10/21/2021,13:23:36,0.118
10/21/2021,13:23:37,0.132
10/21/2021,13:23:38,0.131
10/21/2021,13:23:39,0.127
10/21/2021,13:23:40,0.129
10/21/2021,13:23:41,0.119
10/21/2021,13:23:42,0.151
10/21/2021,13:23:43,0.135
10/21/2021,13:23:44,0.129
10/21/2021,13:23:45,0.12
10/21/2021,13:23:46,0.138
10/21/2021,13:23:47,0.105
10/21/2021,13:23:48,0.12
10/21/2021,13:23:49,0.115
10/21/2021,13:23:50,0.122
10/21/2021,13:23:51,0.124
10/21/2021,13:23:52,0.124

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705006
Test Name:,Test 2
Start Date:,10/21/2021
Start Time:,02:22:53
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.133
,Minimum:,0.106
,Time of Minimum:,02:23:36
,Date of Minimum:,10/21/2021
,Maximum:,0.161
,Time of Maximum:,02:23:53
,Date of Maximum:,10/21/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,10/21/2021
,Cal name:,USER5 

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
10/21/2021,14:22:54,0.127
10/21/2021,14:22:55,0.134
10/21/2021,14:22:56,0.148
10/21/2021,14:22:57,0.124
10/21/2021,14:22:58,0.155
10/21/2021,14:22:59,0.134
10/21/2021,14:23:00,0.143
10/21/2021,14:23:01,0.142
10/21/2021,14:23:02,0.129
10/21/2021,14:23:03,0.132
10/21/2021,14:23:04,0.125
10/21/2021,14:23:05,0.132
10/21/2021,14:23:06,0.124
10/21/2021,14:23:07,0.138
10/21/2021,14:23:08,0.134
10/21/2021,14:23:09,0.111
10/21/2021,14:23:10,0.143
10/21/2021,14:23:11,0.113
10/21/2021,14:23:12,0.148
10/21/2021,14:23:13,0.136
10/21/2021,14:23:14,0.127
10/21/2021,14:23:15,0.125
10/21/2021,14:23:16,0.144
10/21/2021,14:23:17,0.147
10/21/2021,14:23:18,0.129
10/21/2021,14:23:19,0.124
10/21/2021,14:23:20,0.14
10/21/2021,14:23:21,0.134
10/21/2021,14:23:22,0.135
10/21/2021,14:23:23,0.125
10/21/2021,14:23:24,0.123
10/21/2021,14:23:25,0.132
10/21/2021,14:23:26,0.142
10/21/2021,14:23:27,0.14
10/21/2021,14:23:28,0.124
10/21/2021,14:23:29,0.132
10/21/2021,14:23:30,0.114
10/21/2021,14:23:31,0.125
10/21/2021,14:23:32,0.123
10/21/2021,14:23:33,0.119
10/21/2021,14:23:34,0.118
10/21/2021,14:23:35,0.139
10/21/2021,14:23:36,0.106
10/21/2021,14:23:37,0.13
10/21/2021,14:23:38,0.132
10/21/2021,14:23:39,0.15
10/21/2021,14:23:40,0.124
10/21/2021,14:23:41,0.133
10/21/2021,14:23:42,0.135
10/21/2021,14:23:43,0.118
10/21/2021,14:23:44,0.146
10/21/2021,14:23:45,0.137
