TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705006
Test Name:,Test 1
Start Date:,05/28/2021
Start Time:,10:55:43
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.132
,Minimum:,0.098
,Time of Minimum:,10:56:41
,Date of Minimum:,05/28/2021
,Maximum:,0.175
,Time of Maximum:,10:56:29
,Date of Maximum:,05/28/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,05/28/2021
,Cal name:,USER5 

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
05/28/2021,10:55:44,0.121
05/28/2021,10:55:45,0.099
05/28/2021,10:55:46,0.109
05/28/2021,10:55:47,0.111
05/28/2021,10:55:48,0.119
05/28/2021,10:55:49,0.12
05/28/2021,10:55:50,0.112
05/28/2021,10:55:51,0.11
05/28/2021,10:55:52,0.109
05/28/2021,10:55:53,0.113
05/28/2021,10:55:54,0.108
05/28/2021,10:55:55,0.114
05/28/2021,10:55:56,0.13
05/28/2021,10:55:57,0.124
05/28/2021,10:55:58,0.148
05/28/2021,10:55:59,0.106
05/28/2021,10:56:00,0.11
05/28/2021,10:56:01,0.131
05/28/2021,10:56:02,0.116
05/28/2021,10:56:03,0.121
05/28/2021,10:56:04,0.155
05/28/2021,10:56:05,0.147
05/28/2021,10:56:06,0.139
05/28/2021,10:56:07,0.145
05/28/2021,10:56:08,0.172
05/28/2021,10:56:09,0.129
05/28/2021,10:56:10,0.139
05/28/2021,10:56:11,0.122
05/28/2021,10:56:12,0.117
05/28/2021,10:56:13,0.143
05/28/2021,10:56:14,0.14
05/28/2021,10:56:15,0.137
05/28/2021,10:56:16,0.133
05/28/2021,10:56:17,0.168
05/28/2021,10:56:18,0.144
05/28/2021,10:56:19,0.119
05/28/2021,10:56:20,0.142
05/28/2021,10:56:21,0.127
05/28/2021,10:56:22,0.153
05/28/2021,10:56:23,0.125
05/28/2021,10:56:24,0.138
05/28/2021,10:56:25,0.134
05/28/2021,10:56:26,0.16
05/28/2021,10:56:27,0.144
05/28/2021,10:56:28,0.153
05/28/2021,10:56:29,0.175
05/28/2021,10:56:30,0.172
05/28/2021,10:56:31,0.14
05/28/2021,10:56:32,0.14
05/28/2021,10:56:33,0.159
05/28/2021,10:56:34,0.149
05/28/2021,10:56:35,0.129
05/28/2021,10:56:36,0.14
05/28/2021,10:56:37,0.141
05/28/2021,10:56:38,0.125
05/28/2021,10:56:39,0.134
05/28/2021,10:56:40,0.11
05/28/2021,10:56:41,0.098
05/28/2021,10:56:42,0.124
05/28/2021,10:56:43,0.115

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705006
Test Name:,Test 2
Start Date:,05/28/2021
Start Time:,11:55:44
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.139
,Minimum:,0.11
,Time of Minimum:,11:56:29
,Date of Minimum:,05/28/2021
,Maximum:,0.171
,Time of Maximum:,11:56:42
,Date of Maximum:,05/28/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,05/28/2021
,Cal name:,USER5 

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
05/28/2021,11:55:45,0.143
05/28/2021,11:55:46,0.123
05/28/2021,11:55:47,0.134
05/28/2021,11:55:48,0.148
05/28/2021,11:55:49,0.126
05/28/2021,11:55:50,0.138
05/28/2021,11:55:51,0.134
05/28/2021,11:55:52,0.148
05/28/2021,11:55:53,0.15
05/28/2021,11:55:54,0.147
