TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705006
Test Name:,Test 1
Start Date:,04/06/2021
Start Time:,12:52:44
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.056
,Minimum:,0.023
,Time of Minimum:,12:53:44
,Date of Minimum:,04/06/2021
,Maximum:,0.108
,Time of Maximum:,12:52:52
,Date of Maximum:,04/06/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,04/06/2021
,Cal name:,USER5 

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
04/06/2021,12:52:45,0.068
04/06/2021,12:52:46,0.094
04/06/2021,12:52:47,0.064
04/06/2021,12:52:48,0.059
04/06/2021,12:52:49,0.058
04/06/2021,12:52:50,0.061
04/06/2021,12:52:51,0.048
04/06/2021,12:52:52,0.108
04/06/2021,12:52:53,0.077
04/06/2021,12:52:54,0.052
04/06/2021,12:52:55,0.057
04/06/2021,12:52:56,0.053
04/06/2021,12:52:57,0.065
04/06/2021,12:52:58,0.058
04/06/2021,12:52:59,0.061
04/06/2021,12:53:00,0.053
04/06/2021,12:53:01,0.081
04/06/2021,12:53:02,0.073
04/06/2021,12:53:03,0.077
04/06/2021,12:53:04,0.063
04/06/2021,12:53:05,0.062
04/06/2021,12:53:06,0.062
04/06/2021,12:53:07,0.101
04/06/2021,12:53:08,0.067
04/06/2021,12:53:09,0.069
04/06/2021,12:53:10,0.07
04/06/2021,12:53:11,0.076
04/06/2021,12:53:12,0.095
04/06/2021,12:53:13,0.074
04/06/2021,12:53:14,0.076
04/06/2021,12:53:15,0.061
04/06/2021,12:53:16,0.067
04/06/2021,12:53:17,0.047
04/06/2021,12:53:18,0.055
04/06/2021,12:53:19,0.048
04/06/2021,12:53:20,0.035
04/06/2021,12:53:21,0.045
04/06/2021,12:53:22,0.032
04/06/2021,12:53:23,0.043
04/06/2021,12:53:24,0.058
04/06/2021,12:53:25,0.029
04/06/2021,12:53:26,0.04
04/06/2021,12:53:27,0.068
04/06/2021,12:53:28,0.049
04/06/2021,12:53:29,0.032
04/06/2021,12:53:30,0.025
04/06/2021,12:53:31,0.03
04/06/2021,12:53:32,0.037
04/06/2021,12:53:33,0.042
04/06/2021,12:53:34,0.049
04/06/2021,12:53:35,0.046
04/06/2021,12:53:36,0.045
04/06/2021,12:53:37,0.036
04/06/2021,12:53:38,0.053
04/06/2021,12:53:39,0.042
04/06/2021,12:53:40,0.045
04/06/2021,12:53:41,0.047
04/06/2021,12:53:42,0.029
04/06/2021,12:53:43,0.035
04/06/2021,12:53:44,0.023

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705006
Test Name:,Test 2
Start Date:,04/06/2021
Start Time:,01:52:45
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.079
,Minimum:,0.056
,Time of Minimum:,01:53:29
,Date of Minimum:,04/06/2021
,Maximum:,0.173
,Time of Maximum:,01:53:16
,Date of Maximum:,04/06/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,04/06/2021
,Cal name:,USER5 

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
04/06/2021,13:52:46,0.074
04/06/2021,13:52:47,0.061
04/06/2021,13:52:48,0.08
04/06/2021,13:52:49,0.085
04/06/2021,13:52:50,0.077
04/06/2021,13:52:51,0.08
04/06/2021,13:52:52,0.082
04/06/2021,13:52:53,0.092
04/06/2021,13:52:54,0.075
04/06/2021,13:52:55,0.084
04/06/2021,13:52:56,0.092
04/06/2021,13:52:57,0.083
04/06/2021,13:52:58,0.104
04/06/2021,13:52:59,0.081
04/06/2021,13:53:00,0.08
04/06/2021,13:53:01,0.078
04/06/2021,13:53:02,0.067
04/06/2021,13:53:03,0.068
04/06/2021,13:53:04,0.071
04/06/2021,13:53:05,0.082
04/06/2021,13:53:06,0.062
04/06/2021,13:53:07,0.07
04/06/2021,13:53:08,0.083
04/06/2021,13:53:09,0.085
04/06/2021,13:53:10,0.083
04/06/2021,13:53:11,0.093
04/06/2021,13:53:12,0.081
04/06/2021,13:53:13,0.083
04/06/2021,13:53:14,0.1
04/06/2021,13:53:15,0.093
04/06/2021,13:53:16,0.173
04/06/2021,13:53:17,0.081
04/06/2021,13:53:18,0.08
04/06/2021,13:53:19,0.089
04/06/2021,13:53:20,0.076
04/06/2021,13:53:21,0.083
04/06/2021,13:53:22,0.09
04/06/2021,13:53:23,0.081
04/06/2021,13:53:24,0.072
04/06/2021,13:53:25,0.059
04/06/2021,13:53:26,0.065
04/06/2021,13:53:27,0.071
04/06/2021,13:53:28,0.069
04/06/2021,13:53:29,0.056
04/06/2021,13:53:30,0.071
04/06/2021,13:53:31,0.079
04/06/2021,13:53:32,0.067
04/06/2021,13:53:33,0.077
04/06/2021,13:53:34,0.081
04/06/2021,13:53:35,0.078
04/06/2021,13:53:36,0.082
04/06/2021,13:53:37,0.069
04/06/2021,13:53:38,0.088
04/06/2021,13:53:39,0.07
04/06/2021,13:53:40,0.063
04/06/2021,13:53:41,0.063
04/06/2021,13:53:42,0.074
04/06/2021,13:53:43,0.078
04/06/2021,13:53:44,0.066
04/06/2021,13:53:45,0.06

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705006
Test Name:,Test 3
Start Date:,04/06/2021
Start Time:,02:52:45
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.08
,Minimum:,0.049
,Time of Minimum:,02:53:12
,Date of Minimum:,04/06/2021
,Maximum:,0.252
,Time of Maximum:,02:53:41
,Date of Maximum:,04/06/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,04/06/2021
,Cal name:,USER5 

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
04/06/2021,14:52:46,0.08
04/06/2021,14:52:47,0.075
04/06/2021,14:52:48,0.06
04/06/2021,14:52:49,0.087
04/06/2021,14:52:50,0.077
04/06/2021,14:52:51,0.075
04/06/2021,14:52:52,0.079
04/06/2021,14:52:53,0.086
04/06/2021,14:52:54,0.079
04/06/2021,14:52:55,0.1
04/06/2021,14:52:56,0.067
