TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705006
Test Name:,Test 1
Start Date:,05/07/2021
Start Time:,10:34:07
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.102
,Minimum:,0.072
,Time of Minimum:,10:34:21
,Date of Minimum:,05/07/2021
,Maximum:,0.192
,Time of Maximum:,10:35:06
,Date of Maximum:,05/07/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,05/07/2021
,Cal name:,USER5 

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
05/07/2021,10:34:08,0.109
05/07/2021,10:34:09,0.111
05/07/2021,10:34:10,0.111
05/07/2021,10:34:11,0.118
05/07/2021,10:34:12,0.128
05/07/2021,10:34:13,0.121
05/07/2021,10:34:14,0.117
05/07/2021,10:34:15,0.088
05/07/2021,10:34:16,0.079
05/07/2021,10:34:17,0.12
05/07/2021,10:34:18,0.101
05/07/2021,10:34:19,0.097
05/07/2021,10:34:20,0.089
05/07/2021,10:34:21,0.072
05/07/2021,10:34:22,0.08
05/07/2021,10:34:23,0.101
05/07/2021,10:34:24,0.114
05/07/2021,10:34:25,0.094
05/07/2021,10:34:26,0.073
05/07/2021,10:34:27,0.114
05/07/2021,10:34:28,0.128
05/07/2021,10:34:29,0.105
05/07/2021,10:34:30,0.106
05/07/2021,10:34:31,0.094
05/07/2021,10:34:32,0.139
05/07/2021,10:34:33,0.091
05/07/2021,10:34:34,0.106
05/07/2021,10:34:35,0.086
05/07/2021,10:34:36,0.093
05/07/2021,10:34:37,0.115
05/07/2021,10:34:38,0.086
05/07/2021,10:34:39,0.086
05/07/2021,10:34:40,0.074
05/07/2021,10:34:41,0.08
05/07/2021,10:34:42,0.091
05/07/2021,10:34:43,0.13
05/07/2021,10:34:44,0.111
05/07/2021,10:34:45,0.1
05/07/2021,10:34:46,0.117
05/07/2021,10:34:47,0.111
05/07/2021,10:34:48,0.104
05/07/2021,10:34:49,0.134
05/07/2021,10:34:50,0.11
05/07/2021,10:34:51,0.138
05/07/2021,10:34:52,0.121
05/07/2021,10:34:53,0.093
05/07/2021,10:34:54,0.114
05/07/2021,10:34:55,0.087
05/07/2021,10:34:56,0.08
05/07/2021,10:34:57,0.118
05/07/2021,10:34:58,0.078
05/07/2021,10:34:59,0.08
05/07/2021,10:35:00,0.087
05/07/2021,10:35:01,0.076
05/07/2021,10:35:02,0.103
05/07/2021,10:35:03,0.089
05/07/2021,10:35:04,0.08
05/07/2021,10:35:05,0.077
05/07/2021,10:35:06,0.192
05/07/2021,10:35:07,0.089

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705006
Test Name:,Test 2
Start Date:,05/07/2021
Start Time:,11:34:08
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.109
,Minimum:,0.091
,Time of Minimum:,11:34:26
,Date of Minimum:,05/07/2021
,Maximum:,0.141
,Time of Maximum:,11:34:33
,Date of Maximum:,05/07/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,05/07/2021
,Cal name:,USER5 

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
05/07/2021,11:34:09,0.097
05/07/2021,11:34:10,0.098
05/07/2021,11:34:11,0.119
05/07/2021,11:34:12,0.1
05/07/2021,11:34:13,0.092
05/07/2021,11:34:14,0.118
05/07/2021,11:34:15,0.108
05/07/2021,11:34:16,0.117
05/07/2021,11:34:17,0.11
05/07/2021,11:34:18,0.111
05/07/2021,11:34:19,0.097
05/07/2021,11:34:20,0.1
05/07/2021,11:34:21,0.111
05/07/2021,11:34:22,0.091
05/07/2021,11:34:23,0.115
05/07/2021,11:34:24,0.118
05/07/2021,11:34:25,0.097
05/07/2021,11:34:26,0.091
05/07/2021,11:34:27,0.101
05/07/2021,11:34:28,0.102
05/07/2021,11:34:29,0.107
05/07/2021,11:34:30,0.102
05/07/2021,11:34:31,0.102
05/07/2021,11:34:32,0.108
05/07/2021,11:34:33,0.141
05/07/2021,11:34:34,0.113
05/07/2021,11:34:35,0.102
05/07/2021,11:34:36,0.106
05/07/2021,11:34:37,0.096
05/07/2021,11:34:38,0.11
05/07/2021,11:34:39,0.107
05/07/2021,11:34:40,0.123
05/07/2021,11:34:41,0.106
05/07/2021,11:34:42,0.113
05/07/2021,11:34:43,0.095
05/07/2021,11:34:44,0.125
05/07/2021,11:34:45,0.136
05/07/2021,11:34:46,0.11
05/07/2021,11:34:47,0.118
05/07/2021,11:34:48,0.112
05/07/2021,11:34:49,0.118
05/07/2021,11:34:50,0.103
05/07/2021,11:34:51,0.104
05/07/2021,11:34:52,0.119
05/07/2021,11:34:53,0.139
05/07/2021,11:34:54,0.117
05/07/2021,11:34:55,0.108
05/07/2021,11:34:56,0.108
05/07/2021,11:34:57,0.111
05/07/2021,11:34:58,0.112
05/07/2021,11:34:59,0.121
05/07/2021,11:35:00,0.123
05/07/2021,11:35:01,0.101
05/07/2021,11:35:02,0.103
05/07/2021,11:35:03,0.109
05/07/2021,11:35:04,0.122
05/07/2021,11:35:05,0.098
05/07/2021,11:35:06,0.122
05/07/2021,11:35:07,0.105
05/07/2021,11:35:08,0.101

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705006
Test Name:,Test 3
Start Date:,05/07/2021
Start Time:,12:34:08
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.13
,Minimum:,0.099
,Time of Minimum:,12:34:46
,Date of Minimum:,05/07/2021
,Maximum:,0.177
,Time of Maximum:,12:35:05
,Date of Maximum:,05/07/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,05/07/2021
,Cal name:,USER5 

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
05/07/2021,12:34:09,0.15
05/07/2021,12:34:10,0.129
05/07/2021,12:34:11,0.144
05/07/2021,12:34:12,0.114
05/07/2021,12:34:13,0.132
05/07/2021,12:34:14,0.128
05/07/2021,12:34:15,0.14
05/07/2021,12:34:16,0.11
05/07/2021,12:34:17,0.135
05/07/2021,12:34:18,0.143
05/07/2021,12:34:19,0.121
05/07/2021,12:34:20,0.128
05/07/2021,12:34:21,0.135
05/07/2021,12:34:22,0.117
05/07/2021,12:34:23,0.139
05/07/2021,12:34:24,0.125
05/07/2021,12:34:25,0.149
05/07/2021,12:34:26,0.143
05/07/2021,12:34:27,0.117
05/07/2021,12:34:28,0.105
05/07/2021,12:34:29,0.119
05/07/2021,12:34:30,0.121
05/07/2021,12:34:31,0.123
05/07/2021,12:34:32,0.115
05/07/2021,12:34:33,0.128
05/07/2021,12:34:34,0.145
05/07/2021,12:34:35,0.134
05/07/2021,12:34:36,0.128
05/07/2021,12:34:37,0.124
05/07/2021,12:34:38,0.115
05/07/2021,12:34:39,0.109
05/07/2021,12:34:40,0.133
05/07/2021,12:34:41,0.106
05/07/2021,12:34:42,0.119
05/07/2021,12:34:43,0.119
05/07/2021,12:34:44,0.125
05/07/2021,12:34:45,0.123
05/07/2021,12:34:46,0.099
05/07/2021,12:34:47,0.112
05/07/2021,12:34:48,0.115
05/07/2021,12:34:49,0.125
05/07/2021,12:34:50,0.112
05/07/2021,12:34:51,0.143
05/07/2021,12:34:52,0.148
05/07/2021,12:34:53,0.143
05/07/2021,12:34:54,0.147
05/07/2021,12:34:55,0.13
05/07/2021,12:34:56,0.125
05/07/2021,12:34:57,0.153
05/07/2021,12:34:58,0.142
05/07/2021,12:34:59,0.145
05/07/2021,12:35:00,0.132
05/07/2021,12:35:01,0.131
05/07/2021,12:35:02,0.144
05/07/2021,12:35:03,0.152
05/07/2021,12:35:04,0.145
05/07/2021,12:35:05,0.177
05/07/2021,12:35:06,0.134
05/07/2021,12:35:07,0.136
05/07/2021,12:35:08,0.124

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705006
Test Name:,Test 4
Start Date:,05/07/2021
Start Time:,01:34:08
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.098
,Minimum:,0.064
,Time of Minimum:,01:34:38
,Date of Minimum:,05/07/2021
,Maximum:,0.187
,Time of Maximum:,01:34:57
,Date of Maximum:,05/07/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,05/07/2021
,Cal name:,USER5 

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
05/07/2021,13:34:09,0.085
05/07/2021,13:34:10,0.076
05/07/2021,13:34:11,0.085
05/07/2021,13:34:12,0.086
05/07/2021,13:34:13,0.101
05/07/2021,13:34:14,0.082
05/07/2021,13:34:15,0.069
05/07/2021,13:34:16,0.071
05/07/2021,13:34:17,0.07
05/07/2021,13:34:18,0.069
05/07/2021,13:34:19,0.093
05/07/2021,13:34:20,0.1
05/07/2021,13:34:21,0.067
05/07/2021,13:34:22,0.077
05/07/2021,13:34:23,0.084
05/07/2021,13:34:24,0.067
05/07/2021,13:34:25,0.071
05/07/2021,13:34:26,0.068
05/07/2021,13:34:27,0.079
05/07/2021,13:34:28,0.101
05/07/2021,13:34:29,0.075
05/07/2021,13:34:30,0.093
05/07/2021,13:34:31,0.085
05/07/2021,13:34:32,0.083
05/07/2021,13:34:33,0.076
05/07/2021,13:34:34,0.077
05/07/2021,13:34:35,0.074
05/07/2021,13:34:36,0.083
05/07/2021,13:34:37,0.072
05/07/2021,13:34:38,0.064
05/07/2021,13:34:39,0.104
05/07/2021,13:34:40,0.077
05/07/2021,13:34:41,0.15
05/07/2021,13:34:42,0.083
05/07/2021,13:34:43,0.123
05/07/2021,13:34:44,0.114
05/07/2021,13:34:45,0.111
05/07/2021,13:34:46,0.084
05/07/2021,13:34:47,0.089
05/07/2021,13:34:48,0.164
05/07/2021,13:34:49,0.097
05/07/2021,13:34:50,0.136
05/07/2021,13:34:51,0.132
05/07/2021,13:34:52,0.147
05/07/2021,13:34:53,0.14
05/07/2021,13:34:54,0.169
05/07/2021,13:34:55,0.184
05/07/2021,13:34:56,0.155
05/07/2021,13:34:57,0.187
05/07/2021,13:34:58,0.151
05/07/2021,13:34:59,0.1
05/07/2021,13:35:00,0.111
05/07/2021,13:35:01,0.067
05/07/2021,13:35:02,0.106
05/07/2021,13:35:03,0.077
05/07/2021,13:35:04,0.105
05/07/2021,13:35:05,0.091
05/07/2021,13:35:06,0.081
