TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704008
Test Name:,Test 1
Start Date:,02/04/2022
Start Time:,12:13:52
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.084
,Minimum:,0.057
,Time of Minimum:,12:13:53
,Date of Minimum:,02/04/2022
,Maximum:,0.217
,Time of Maximum:,12:14:10
,Date of Maximum:,02/04/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,02/04/2022
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
02/04/2022,12:13:53,0.057
02/04/2022,12:13:54,0.063
02/04/2022,12:13:55,0.073
02/04/2022,12:13:56,0.074
02/04/2022,12:13:57,0.069
02/04/2022,12:13:58,0.071
02/04/2022,12:13:59,0.087
02/04/2022,12:14:00,0.083
02/04/2022,12:14:01,0.095
02/04/2022,12:14:02,0.066
02/04/2022,12:14:03,0.085
02/04/2022,12:14:04,0.121
02/04/2022,12:14:05,0.083
02/04/2022,12:14:06,0.08
02/04/2022,12:14:07,0.076
02/04/2022,12:14:08,0.062
02/04/2022,12:14:09,0.075
02/04/2022,12:14:10,0.217
02/04/2022,12:14:11,0.075
02/04/2022,12:14:12,0.078
02/04/2022,12:14:13,0.081
02/04/2022,12:14:14,0.082
02/04/2022,12:14:15,0.081
02/04/2022,12:14:16,0.091
02/04/2022,12:14:17,0.084
02/04/2022,12:14:18,0.08
02/04/2022,12:14:19,0.083
02/04/2022,12:14:20,0.104
02/04/2022,12:14:21,0.065
02/04/2022,12:14:22,0.089
02/04/2022,12:14:23,0.073
02/04/2022,12:14:24,0.108
02/04/2022,12:14:25,0.084
02/04/2022,12:14:26,0.1
02/04/2022,12:14:27,0.085
02/04/2022,12:14:28,0.091
02/04/2022,12:14:29,0.081
02/04/2022,12:14:30,0.102
02/04/2022,12:14:31,0.078
02/04/2022,12:14:32,0.094
02/04/2022,12:14:33,0.085
02/04/2022,12:14:34,0.098
02/04/2022,12:14:35,0.076
02/04/2022,12:14:36,0.077
02/04/2022,12:14:37,0.075
02/04/2022,12:14:38,0.074
02/04/2022,12:14:39,0.1
02/04/2022,12:14:40,0.079
02/04/2022,12:14:41,0.089
02/04/2022,12:14:42,0.1
02/04/2022,12:14:43,0.07
02/04/2022,12:14:44,0.085
02/04/2022,12:14:45,0.078
02/04/2022,12:14:46,0.069
02/04/2022,12:14:47,0.063
02/04/2022,12:14:48,0.09
02/04/2022,12:14:49,0.075
02/04/2022,12:14:50,0.088
02/04/2022,12:14:51,0.075
02/04/2022,12:14:52,0.079

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704008
Test Name:,Test 2
Start Date:,02/04/2022
Start Time:,01:13:53
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.088
,Minimum:,0.062
,Time of Minimum:,01:14:00
,Date of Minimum:,02/04/2022
,Maximum:,0.143
,Time of Maximum:,01:13:56
,Date of Maximum:,02/04/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,02/04/2022
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
02/04/2022,13:13:54,0.104
02/04/2022,13:13:55,0.089
02/04/2022,13:13:56,0.143
