TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704008
Test Name:,Test 1
Start Date:,06/11/2021
Start Time:,11:41:54
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.121
,Minimum:,0.104
,Time of Minimum:,11:42:42
,Date of Minimum:,06/11/2021
,Maximum:,0.149
,Time of Maximum:,11:42:52
,Date of Maximum:,06/11/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,06/11/2021
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
06/11/2021,11:41:55,0.131
06/11/2021,11:41:56,0.145
06/11/2021,11:41:57,0.113
06/11/2021,11:41:58,0.128
06/11/2021,11:41:59,0.131
06/11/2021,11:42:00,0.136
06/11/2021,11:42:01,0.114
06/11/2021,11:42:02,0.122
06/11/2021,11:42:03,0.11
06/11/2021,11:42:04,0.119
06/11/2021,11:42:05,0.115
06/11/2021,11:42:06,0.126
06/11/2021,11:42:07,0.121
06/11/2021,11:42:08,0.127
06/11/2021,11:42:09,0.123
06/11/2021,11:42:10,0.106
06/11/2021,11:42:11,0.11
06/11/2021,11:42:12,0.115
06/11/2021,11:42:13,0.118
06/11/2021,11:42:14,0.133
06/11/2021,11:42:15,0.112
06/11/2021,11:42:16,0.12
06/11/2021,11:42:17,0.113
06/11/2021,11:42:18,0.115
06/11/2021,11:42:19,0.125
06/11/2021,11:42:20,0.116
06/11/2021,11:42:21,0.115
06/11/2021,11:42:22,0.125
06/11/2021,11:42:23,0.13
06/11/2021,11:42:24,0.109
06/11/2021,11:42:25,0.12
06/11/2021,11:42:26,0.126
06/11/2021,11:42:27,0.121
06/11/2021,11:42:28,0.144
06/11/2021,11:42:29,0.128
06/11/2021,11:42:30,0.12
06/11/2021,11:42:31,0.109
06/11/2021,11:42:32,0.109
06/11/2021,11:42:33,0.136
06/11/2021,11:42:34,0.104
06/11/2021,11:42:35,0.146
06/11/2021,11:42:36,0.119
06/11/2021,11:42:37,0.126
06/11/2021,11:42:38,0.111
06/11/2021,11:42:39,0.11
06/11/2021,11:42:40,0.105
06/11/2021,11:42:41,0.121
06/11/2021,11:42:42,0.104
06/11/2021,11:42:43,0.126
06/11/2021,11:42:44,0.109
06/11/2021,11:42:45,0.12
06/11/2021,11:42:46,0.126
06/11/2021,11:42:47,0.123
06/11/2021,11:42:48,0.125
06/11/2021,11:42:49,0.125
06/11/2021,11:42:50,0.112
06/11/2021,11:42:51,0.111
06/11/2021,11:42:52,0.149
06/11/2021,11:42:53,0.129
06/11/2021,11:42:54,0.11

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704008
Test Name:,Test 2
Start Date:,06/11/2021
Start Time:,12:41:54
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.116
,Minimum:,0.101
,Time of Minimum:,12:42:24
,Date of Minimum:,06/11/2021
,Maximum:,0.139
,Time of Maximum:,12:41:57
,Date of Maximum:,06/11/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,06/11/2021
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
06/11/2021,12:41:55,0.119
06/11/2021,12:41:56,0.115
06/11/2021,12:41:57,0.139
06/11/2021,12:41:58,0.119
06/11/2021,12:41:59,0.104
06/11/2021,12:42:00,0.133
06/11/2021,12:42:01,0.131
06/11/2021,12:42:02,0.117
06/11/2021,12:42:03,0.102
06/11/2021,12:42:04,0.118
06/11/2021,12:42:05,0.114
06/11/2021,12:42:06,0.11
06/11/2021,12:42:07,0.124
06/11/2021,12:42:08,0.126
06/11/2021,12:42:09,0.131
06/11/2021,12:42:10,0.108
06/11/2021,12:42:11,0.115
06/11/2021,12:42:12,0.116
06/11/2021,12:42:13,0.119
06/11/2021,12:42:14,0.117
06/11/2021,12:42:15,0.114
06/11/2021,12:42:16,0.109
06/11/2021,12:42:17,0.127
06/11/2021,12:42:18,0.101
06/11/2021,12:42:19,0.104
06/11/2021,12:42:20,0.105
06/11/2021,12:42:21,0.108
06/11/2021,12:42:22,0.106
06/11/2021,12:42:23,0.111
06/11/2021,12:42:24,0.101
06/11/2021,12:42:25,0.121
06/11/2021,12:42:26,0.11
06/11/2021,12:42:27,0.114
06/11/2021,12:42:28,0.128
06/11/2021,12:42:29,0.105
06/11/2021,12:42:30,0.125
06/11/2021,12:42:31,0.124
06/11/2021,12:42:32,0.122
06/11/2021,12:42:33,0.118
06/11/2021,12:42:34,0.115
06/11/2021,12:42:35,0.128
06/11/2021,12:42:36,0.129
06/11/2021,12:42:37,0.117
06/11/2021,12:42:38,0.117
06/11/2021,12:42:39,0.111
06/11/2021,12:42:40,0.137
06/11/2021,12:42:41,0.117
06/11/2021,12:42:42,0.113
06/11/2021,12:42:43,0.119
06/11/2021,12:42:44,0.11
06/11/2021,12:42:45,0.122
06/11/2021,12:42:46,0.103
06/11/2021,12:42:47,0.115
06/11/2021,12:42:48,0.114
06/11/2021,12:42:49,0.113
06/11/2021,12:42:50,0.107
06/11/2021,12:42:51,0.115
06/11/2021,12:42:52,0.124
06/11/2021,12:42:53,0.109
06/11/2021,12:42:54,0.107

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704008
Test Name:,Test 3
Start Date:,06/11/2021
Start Time:,01:41:54
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.143
,Minimum:,0.125
,Time of Minimum:,01:42:18
,Date of Minimum:,06/11/2021
,Maximum:,0.171
,Time of Maximum:,01:42:17
,Date of Maximum:,06/11/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,06/11/2021
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
06/11/2021,13:41:55,0.13
06/11/2021,13:41:56,0.132
06/11/2021,13:41:57,0.132
06/11/2021,13:41:58,0.146
06/11/2021,13:41:59,0.149
06/11/2021,13:42:00,0.146
06/11/2021,13:42:01,0.133
06/11/2021,13:42:02,0.158
06/11/2021,13:42:03,0.145
06/11/2021,13:42:04,0.162
06/11/2021,13:42:05,0.132
06/11/2021,13:42:06,0.13
06/11/2021,13:42:07,0.147
06/11/2021,13:42:08,0.133
06/11/2021,13:42:09,0.143
06/11/2021,13:42:10,0.152
06/11/2021,13:42:11,0.156
06/11/2021,13:42:12,0.143
06/11/2021,13:42:13,0.139
06/11/2021,13:42:14,0.165
06/11/2021,13:42:15,0.146
06/11/2021,13:42:16,0.139
06/11/2021,13:42:17,0.171
06/11/2021,13:42:18,0.125
06/11/2021,13:42:19,0.129
06/11/2021,13:42:20,0.148
06/11/2021,13:42:21,0.135
06/11/2021,13:42:22,0.129
06/11/2021,13:42:23,0.146
06/11/2021,13:42:24,0.127
06/11/2021,13:42:25,0.133
06/11/2021,13:42:26,0.139
06/11/2021,13:42:27,0.144
06/11/2021,13:42:28,0.133
06/11/2021,13:42:29,0.156
06/11/2021,13:42:30,0.159
06/11/2021,13:42:31,0.135
06/11/2021,13:42:32,0.146
06/11/2021,13:42:33,0.155
06/11/2021,13:42:34,0.16
06/11/2021,13:42:35,0.142
06/11/2021,13:42:36,0.141
06/11/2021,13:42:37,0.138
06/11/2021,13:42:38,0.146
06/11/2021,13:42:39,0.145
06/11/2021,13:42:40,0.13
06/11/2021,13:42:41,0.138
06/11/2021,13:42:42,0.164
06/11/2021,13:42:43,0.14
06/11/2021,13:42:44,0.138
06/11/2021,13:42:45,0.132
06/11/2021,13:42:46,0.144
06/11/2021,13:42:47,0.134
06/11/2021,13:42:48,0.133
06/11/2021,13:42:49,0.135
06/11/2021,13:42:50,0.137
06/11/2021,13:42:51,0.154
06/11/2021,13:42:52,0.137
06/11/2021,13:42:53,0.147
06/11/2021,13:42:54,0.157

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704008
Test Name:,Test 4
Start Date:,06/11/2021
Start Time:,02:41:54
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.136
,Minimum:,0.117
,Time of Minimum:,02:42:35
,Date of Minimum:,06/11/2021
,Maximum:,0.188
,Time of Maximum:,02:42:07
,Date of Maximum:,06/11/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,06/11/2021
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
06/11/2021,14:41:55,0.129
06/11/2021,14:41:56,0.132
06/11/2021,14:41:57,0.137
06/11/2021,14:41:58,0.121
06/11/2021,14:41:59,0.118
06/11/2021,14:42:00,0.146
06/11/2021,14:42:01,0.117
06/11/2021,14:42:02,0.153
06/11/2021,14:42:03,0.132
06/11/2021,14:42:04,0.139
06/11/2021,14:42:05,0.128
06/11/2021,14:42:06,0.141
06/11/2021,14:42:07,0.188
06/11/2021,14:42:08,0.137
06/11/2021,14:42:09,0.149
06/11/2021,14:42:10,0.15
06/11/2021,14:42:11,0.14
06/11/2021,14:42:12,0.134
06/11/2021,14:42:13,0.146
06/11/2021,14:42:14,0.156
06/11/2021,14:42:15,0.14
06/11/2021,14:42:16,0.133
06/11/2021,14:42:17,0.15
06/11/2021,14:42:18,0.144
06/11/2021,14:42:19,0.134
06/11/2021,14:42:20,0.151
06/11/2021,14:42:21,0.124
06/11/2021,14:42:22,0.15
06/11/2021,14:42:23,0.124
06/11/2021,14:42:24,0.12
06/11/2021,14:42:25,0.133
06/11/2021,14:42:26,0.125
06/11/2021,14:42:27,0.122
06/11/2021,14:42:28,0.122
06/11/2021,14:42:29,0.123
06/11/2021,14:42:30,0.135
06/11/2021,14:42:31,0.161
06/11/2021,14:42:32,0.144
06/11/2021,14:42:33,0.124
06/11/2021,14:42:34,0.128
06/11/2021,14:42:35,0.117
06/11/2021,14:42:36,0.136
06/11/2021,14:42:37,0.136
06/11/2021,14:42:38,0.13
06/11/2021,14:42:39,0.13
06/11/2021,14:42:40,0.129
06/11/2021,14:42:41,0.143
06/11/2021,14:42:42,0.135
06/11/2021,14:42:43,0.131
