TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704008
Test Name:,Test 1
Start Date:,08/31/2021
Start Time:,10:58:45
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.058
,Minimum:,0.037
,Time of Minimum:,10:59:38
,Date of Minimum:,08/31/2021
,Maximum:,0.095
,Time of Maximum:,10:59:01
,Date of Maximum:,08/31/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,08/31/2021
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
08/31/2021,10:58:46,0.058
08/31/2021,10:58:47,0.059
08/31/2021,10:58:48,0.052
08/31/2021,10:58:49,0.08
08/31/2021,10:58:50,0.045
08/31/2021,10:58:51,0.058
08/31/2021,10:58:52,0.066
08/31/2021,10:58:53,0.052
08/31/2021,10:58:54,0.062
08/31/2021,10:58:55,0.056
08/31/2021,10:58:56,0.054
08/31/2021,10:58:57,0.062
08/31/2021,10:58:58,0.046
08/31/2021,10:58:59,0.063
08/31/2021,10:59:00,0.069
08/31/2021,10:59:01,0.095
08/31/2021,10:59:02,0.068
08/31/2021,10:59:03,0.063
08/31/2021,10:59:04,0.057
08/31/2021,10:59:05,0.069
08/31/2021,10:59:06,0.068
08/31/2021,10:59:07,0.057
08/31/2021,10:59:08,0.089
08/31/2021,10:59:09,0.049
08/31/2021,10:59:10,0.06
08/31/2021,10:59:11,0.064
08/31/2021,10:59:12,0.068
08/31/2021,10:59:13,0.061
08/31/2021,10:59:14,0.063
08/31/2021,10:59:15,0.05
08/31/2021,10:59:16,0.06
08/31/2021,10:59:17,0.057
08/31/2021,10:59:18,0.05
08/31/2021,10:59:19,0.054
08/31/2021,10:59:20,0.053
08/31/2021,10:59:21,0.047
08/31/2021,10:59:22,0.06
08/31/2021,10:59:23,0.054
08/31/2021,10:59:24,0.047
08/31/2021,10:59:25,0.054
08/31/2021,10:59:26,0.049
08/31/2021,10:59:27,0.054
08/31/2021,10:59:28,0.062
08/31/2021,10:59:29,0.057
08/31/2021,10:59:30,0.048
08/31/2021,10:59:31,0.041
08/31/2021,10:59:32,0.074
08/31/2021,10:59:33,0.049
08/31/2021,10:59:34,0.052
08/31/2021,10:59:35,0.062
08/31/2021,10:59:36,0.047
08/31/2021,10:59:37,0.05
08/31/2021,10:59:38,0.037
08/31/2021,10:59:39,0.048
08/31/2021,10:59:40,0.043
08/31/2021,10:59:41,0.06
08/31/2021,10:59:42,0.058
08/31/2021,10:59:43,0.041
08/31/2021,10:59:44,0.075
08/31/2021,10:59:45,0.058

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704008
Test Name:,Test 2
Start Date:,08/31/2021
Start Time:,11:58:46
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
