TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704008
Test Name:,Test 1
Start Date:,02/26/2021
Start Time:,11:50:53
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.048
,Minimum:,0.027
,Time of Minimum:,11:51:18
,Date of Minimum:,02/26/2021
,Maximum:,0.075
,Time of Maximum:,11:51:09
,Date of Maximum:,02/26/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,02/26/2021
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
02/26/2021,11:50:54,0.046
02/26/2021,11:50:55,0.041
02/26/2021,11:50:56,0.045
02/26/2021,11:50:57,0.048
02/26/2021,11:50:58,0.05
02/26/2021,11:50:59,0.043
02/26/2021,11:51:00,0.051
02/26/2021,11:51:01,0.05
02/26/2021,11:51:02,0.052
02/26/2021,11:51:03,0.049
02/26/2021,11:51:04,0.051
02/26/2021,11:51:05,0.053
02/26/2021,11:51:06,0.059
02/26/2021,11:51:07,0.057
02/26/2021,11:51:08,0.065
02/26/2021,11:51:09,0.075
02/26/2021,11:51:10,0.067
02/26/2021,11:51:11,0.055
02/26/2021,11:51:12,0.048
02/26/2021,11:51:13,0.058
02/26/2021,11:51:14,0.043
02/26/2021,11:51:15,0.045
02/26/2021,11:51:16,0.045
02/26/2021,11:51:17,0.044
02/26/2021,11:51:18,0.027
02/26/2021,11:51:19,0.036
02/26/2021,11:51:20,0.035
02/26/2021,11:51:21,0.045
02/26/2021,11:51:22,0.05
02/26/2021,11:51:23,0.045
02/26/2021,11:51:24,0.045
02/26/2021,11:51:25,0.046
02/26/2021,11:51:26,0.036
02/26/2021,11:51:27,0.052
02/26/2021,11:51:28,0.044
02/26/2021,11:51:29,0.062
02/26/2021,11:51:30,0.056
02/26/2021,11:51:31,0.05
02/26/2021,11:51:32,0.045
02/26/2021,11:51:33,0.053
02/26/2021,11:51:34,0.045
02/26/2021,11:51:35,0.049
02/26/2021,11:51:36,0.041
02/26/2021,11:51:37,0.042
02/26/2021,11:51:38,0.042
02/26/2021,11:51:39,0.045
02/26/2021,11:51:40,0.052
02/26/2021,11:51:41,0.049
02/26/2021,11:51:42,0.045
02/26/2021,11:51:43,0.044
02/26/2021,11:51:44,0.044
02/26/2021,11:51:45,0.052
02/26/2021,11:51:46,0.044
02/26/2021,11:51:47,0.048
02/26/2021,11:51:48,0.042
02/26/2021,11:51:49,0.048
02/26/2021,11:51:50,0.038
02/26/2021,11:51:51,0.045
02/26/2021,11:51:52,0.043
02/26/2021,11:51:53,0.041

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704008
Test Name:,Test 2
Start Date:,02/26/2021
Start Time:,12:50:54
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.079
,Minimum:,0.065
,Time of Minimum:,12:51:41
,Date of Minimum:,02/26/2021
,Maximum:,0.119
,Time of Maximum:,12:50:56
,Date of Maximum:,02/26/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,02/26/2021
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
02/26/2021,12:50:55,0.076
02/26/2021,12:50:56,0.119
02/26/2021,12:50:57,0.076
02/26/2021,12:50:58,0.074
02/26/2021,12:50:59,0.08
02/26/2021,12:51:00,0.075
02/26/2021,12:51:01,0.073
02/26/2021,12:51:02,0.082
02/26/2021,12:51:03,0.074
02/26/2021,12:51:04,0.076
02/26/2021,12:51:05,0.075
02/26/2021,12:51:06,0.072
02/26/2021,12:51:07,0.077
02/26/2021,12:51:08,0.075
02/26/2021,12:51:09,0.105
02/26/2021,12:51:10,0.075
02/26/2021,12:51:11,0.065
02/26/2021,12:51:12,0.086
02/26/2021,12:51:13,0.086
02/26/2021,12:51:14,0.09
02/26/2021,12:51:15,0.067
02/26/2021,12:51:16,0.075
02/26/2021,12:51:17,0.083
02/26/2021,12:51:18,0.077
02/26/2021,12:51:19,0.086
02/26/2021,12:51:20,0.077
02/26/2021,12:51:21,0.075
02/26/2021,12:51:22,0.076
02/26/2021,12:51:23,0.065
02/26/2021,12:51:24,0.084
02/26/2021,12:51:25,0.073
02/26/2021,12:51:26,0.07
02/26/2021,12:51:27,0.074
02/26/2021,12:51:28,0.07
02/26/2021,12:51:29,0.084
02/26/2021,12:51:30,0.074
02/26/2021,12:51:31,0.07
02/26/2021,12:51:32,0.079
02/26/2021,12:51:33,0.075
02/26/2021,12:51:34,0.09
02/26/2021,12:51:35,0.095
02/26/2021,12:51:36,0.07
02/26/2021,12:51:37,0.075
02/26/2021,12:51:38,0.081
02/26/2021,12:51:39,0.098
02/26/2021,12:51:40,0.068
02/26/2021,12:51:41,0.065
02/26/2021,12:51:42,0.074
02/26/2021,12:51:43,0.072
02/26/2021,12:51:44,0.08
02/26/2021,12:51:45,0.096
02/26/2021,12:51:46,0.083
02/26/2021,12:51:47,0.08
02/26/2021,12:51:48,0.084
02/26/2021,12:51:49,0.08
02/26/2021,12:51:50,0.079
02/26/2021,12:51:51,0.08
02/26/2021,12:51:52,0.084
02/26/2021,12:51:53,0.082
02/26/2021,12:51:54,0.069

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704008
