TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705005
Test Name:,Test 1
Start Date:,06/22/2021
Start Time:,11:18:58
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.047
,Minimum:,0.034
,Time of Minimum:,11:19:39
,Date of Minimum:,06/22/2021
,Maximum:,0.107
,Time of Maximum:,11:19:51
,Date of Maximum:,06/22/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,06/22/2021
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
06/22/2021,11:18:59,0.045
06/22/2021,11:19:00,0.048
06/22/2021,11:19:01,0.041
06/22/2021,11:19:02,0.042
06/22/2021,11:19:03,0.055
06/22/2021,11:19:04,0.05
06/22/2021,11:19:05,0.043
06/22/2021,11:19:06,0.042
06/22/2021,11:19:07,0.042
06/22/2021,11:19:08,0.046
06/22/2021,11:19:09,0.052
06/22/2021,11:19:10,0.047
06/22/2021,11:19:11,0.048
06/22/2021,11:19:12,0.042
06/22/2021,11:19:13,0.05
06/22/2021,11:19:14,0.045
06/22/2021,11:19:15,0.061
06/22/2021,11:19:16,0.058
06/22/2021,11:19:17,0.038
06/22/2021,11:19:18,0.046
06/22/2021,11:19:19,0.052
06/22/2021,11:19:20,0.048
06/22/2021,11:19:21,0.048
06/22/2021,11:19:22,0.038
06/22/2021,11:19:23,0.062
06/22/2021,11:19:24,0.043
06/22/2021,11:19:25,0.065
06/22/2021,11:19:26,0.058
06/22/2021,11:19:27,0.057
06/22/2021,11:19:28,0.057
06/22/2021,11:19:29,0.055
06/22/2021,11:19:30,0.051
06/22/2021,11:19:31,0.05
06/22/2021,11:19:32,0.042
06/22/2021,11:19:33,0.045
06/22/2021,11:19:34,0.048
06/22/2021,11:19:35,0.055
06/22/2021,11:19:36,0.039
06/22/2021,11:19:37,0.037
06/22/2021,11:19:38,0.037
06/22/2021,11:19:39,0.034
06/22/2021,11:19:40,0.044
06/22/2021,11:19:41,0.036
06/22/2021,11:19:42,0.044
06/22/2021,11:19:43,0.047
06/22/2021,11:19:44,0.041
06/22/2021,11:19:45,0.04
06/22/2021,11:19:46,0.044
06/22/2021,11:19:47,0.04
06/22/2021,11:19:48,0.043
06/22/2021,11:19:49,0.038
06/22/2021,11:19:50,0.04
06/22/2021,11:19:51,0.107
06/22/2021,11:19:52,0.04
06/22/2021,11:19:53,0.035
06/22/2021,11:19:54,0.047
06/22/2021,11:19:55,0.041
06/22/2021,11:19:56,0.05
06/22/2021,11:19:57,0.041
06/22/2021,11:19:58,0.041

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705005
Test Name:,Test 2
Start Date:,06/22/2021
Start Time:,12:18:58
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.04
,Minimum:,0.028
,Time of Minimum:,12:19:24
,Date of Minimum:,06/22/2021
,Maximum:,0.063
,Time of Maximum:,12:19:57
,Date of Maximum:,06/22/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,06/22/2021
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
06/22/2021,12:18:59,0.038
06/22/2021,12:19:00,0.037
06/22/2021,12:19:01,0.028
06/22/2021,12:19:02,0.038
06/22/2021,12:19:03,0.047
06/22/2021,12:19:04,0.044
06/22/2021,12:19:05,0.044
06/22/2021,12:19:06,0.048
06/22/2021,12:19:07,0.046
06/22/2021,12:19:08,0.04
06/22/2021,12:19:09,0.042
06/22/2021,12:19:10,0.043
06/22/2021,12:19:11,0.045
06/22/2021,12:19:12,0.035
06/22/2021,12:19:13,0.046
06/22/2021,12:19:14,0.034
06/22/2021,12:19:15,0.039
06/22/2021,12:19:16,0.04
06/22/2021,12:19:17,0.036
06/22/2021,12:19:18,0.032
06/22/2021,12:19:19,0.037
06/22/2021,12:19:20,0.036
06/22/2021,12:19:21,0.037
06/22/2021,12:19:22,0.036
06/22/2021,12:19:23,0.032
06/22/2021,12:19:24,0.028
06/22/2021,12:19:25,0.034
06/22/2021,12:19:26,0.035
06/22/2021,12:19:27,0.046
06/22/2021,12:19:28,0.039
06/22/2021,12:19:29,0.036
06/22/2021,12:19:30,0.033
06/22/2021,12:19:31,0.029
06/22/2021,12:19:32,0.041
06/22/2021,12:19:33,0.037
06/22/2021,12:19:34,0.046
06/22/2021,12:19:35,0.046
06/22/2021,12:19:36,0.045
06/22/2021,12:19:37,0.037
06/22/2021,12:19:38,0.042
06/22/2021,12:19:39,0.039
06/22/2021,12:19:40,0.033
06/22/2021,12:19:41,0.034
06/22/2021,12:19:42,0.046
06/22/2021,12:19:43,0.056
06/22/2021,12:19:44,0.041
06/22/2021,12:19:45,0.036
06/22/2021,12:19:46,0.045
06/22/2021,12:19:47,0.036
06/22/2021,12:19:48,0.046
06/22/2021,12:19:49,0.033
06/22/2021,12:19:50,0.043
06/22/2021,12:19:51,0.039
06/22/2021,12:19:52,0.04
06/22/2021,12:19:53,0.036
06/22/2021,12:19:54,0.041
06/22/2021,12:19:55,0.048
06/22/2021,12:19:56,0.033
06/22/2021,12:19:57,0.063
06/22/2021,12:19:58,0.046

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201705005
Test Name:,Test 3
Start Date:,06/22/2021
Start Time:,01:18:58
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.04
,Minimum:,0.025
,Time of Minimum:,01:19:08
,Date of Minimum:,06/22/2021
,Maximum:,0.091
,Time of Maximum:,01:19:46
,Date of Maximum:,06/22/2021

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,06/22/2021
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
06/22/2021,13:18:59,0.035
06/22/2021,13:19:00,0.034
06/22/2021,13:19:01,0.025
06/22/2021,13:19:02,0.044
06/22/2021,13:19:03,0.028
06/22/2021,13:19:04,0.03
06/22/2021,13:19:05,0.03
06/22/2021,13:19:06,0.06
06/22/2021,13:19:07,0.038
06/22/2021,13:19:08,0.025
06/22/2021,13:19:09,0.043
06/22/2021,13:19:10,0.031
06/22/2021,13:19:11,0.044
06/22/2021,13:19:12,0.055
06/22/2021,13:19:13,0.04
06/22/2021,13:19:14,0.036
06/22/2021,13:19:15,0.045
06/22/2021,13:19:16,0.046
06/22/2021,13:19:17,0.038
06/22/2021,13:19:18,0.037
06/22/2021,13:19:19,0.044
06/22/2021,13:19:20,0.038
06/22/2021,13:19:21,0.029
06/22/2021,13:19:22,0.049
06/22/2021,13:19:23,0.038
06/22/2021,13:19:24,0.031
06/22/2021,13:19:25,0.039
06/22/2021,13:19:26,0.037
06/22/2021,13:19:27,0.027
06/22/2021,13:19:28,0.031
06/22/2021,13:19:29,0.043
06/22/2021,13:19:30,0.036
