TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704007
Test Name:,Test 1
Start Date:,02/01/2022
Start Time:,11:02:55
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.031
,Minimum:,0.009
,Time of Minimum:,11:03:44
,Date of Minimum:,02/01/2022
,Maximum:,0.098
,Time of Maximum:,11:03:14
,Date of Maximum:,02/01/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,02/01/2022
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
02/01/2022,11:02:56,0.056
02/01/2022,11:02:57,0.057
02/01/2022,11:02:58,0.04
02/01/2022,11:02:59,0.032
02/01/2022,11:03:00,0.057
02/01/2022,11:03:01,0.044
02/01/2022,11:03:02,0.061
02/01/2022,11:03:03,0.018
02/01/2022,11:03:04,0.046
02/01/2022,11:03:05,0.038
02/01/2022,11:03:06,0.037
02/01/2022,11:03:07,0.047
02/01/2022,11:03:08,0.048
02/01/2022,11:03:09,0.03
02/01/2022,11:03:10,0.041
02/01/2022,11:03:11,0.026
02/01/2022,11:03:12,0.034
02/01/2022,11:03:13,0.025
02/01/2022,11:03:14,0.098
02/01/2022,11:03:15,0.045
02/01/2022,11:03:16,0.02
02/01/2022,11:03:17,0.046
02/01/2022,11:03:18,0.035
02/01/2022,11:03:19,0.046
02/01/2022,11:03:20,0.023
02/01/2022,11:03:21,0.029
02/01/2022,11:03:22,0.031
02/01/2022,11:03:23,0.028
02/01/2022,11:03:24,0.045
02/01/2022,11:03:25,0.03
02/01/2022,11:03:26,0.026
02/01/2022,11:03:27,0.031
02/01/2022,11:03:28,0.023
02/01/2022,11:03:29,0.02
02/01/2022,11:03:30,0.022
02/01/2022,11:03:31,0.027
02/01/2022,11:03:32,0.035
02/01/2022,11:03:33,0.074
02/01/2022,11:03:34,0.01
02/01/2022,11:03:35,0.019
02/01/2022,11:03:36,0.026
02/01/2022,11:03:37,0.017
02/01/2022,11:03:38,0.014
02/01/2022,11:03:39,0.021
02/01/2022,11:03:40,0.021
02/01/2022,11:03:41,0.009
02/01/2022,11:03:42,0.014
02/01/2022,11:03:43,0.015
02/01/2022,11:03:44,0.009
02/01/2022,11:03:45,0.014
02/01/2022,11:03:46,0.016
02/01/2022,11:03:47,0.011
02/01/2022,11:03:48,0.015
02/01/2022,11:03:49,0.016
02/01/2022,11:03:50,0.027
02/01/2022,11:03:51,0.016
02/01/2022,11:03:52,0.02
02/01/2022,11:03:53,0.013
02/01/2022,11:03:54,0.017
02/01/2022,11:03:55,0.025

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704007
Test Name:,Test 2
Start Date:,02/01/2022
Start Time:,12:02:56
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
