TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704007
Test Name:,Test 1
Start Date:,07/28/2020
Start Time:,12:39:45
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.077
,Minimum:,0.055
,Time of Minimum:,12:40:13
,Date of Minimum:,07/28/2020
,Maximum:,0.107
,Time of Maximum:,12:40:12
,Date of Maximum:,07/28/2020

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,07/28/2020
,Cal name:,User5 

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
07/28/2020,12:39:46,0.09
07/28/2020,12:39:47,0.067
07/28/2020,12:39:48,0.073
07/28/2020,12:39:49,0.078
07/28/2020,12:39:50,0.073
07/28/2020,12:39:51,0.095
07/28/2020,12:39:52,0.078
07/28/2020,12:39:53,0.074
07/28/2020,12:39:54,0.079
07/28/2020,12:39:55,0.068
07/28/2020,12:39:56,0.075
07/28/2020,12:39:57,0.073
07/28/2020,12:39:58,0.099
07/28/2020,12:39:59,0.068
07/28/2020,12:40:00,0.079
07/28/2020,12:40:01,0.061
07/28/2020,12:40:02,0.092
07/28/2020,12:40:03,0.069
07/28/2020,12:40:04,0.064
07/28/2020,12:40:05,0.067
07/28/2020,12:40:06,0.081
07/28/2020,12:40:07,0.07
07/28/2020,12:40:08,0.085
07/28/2020,12:40:09,0.074
07/28/2020,12:40:10,0.086
07/28/2020,12:40:11,0.076
07/28/2020,12:40:12,0.107
07/28/2020,12:40:13,0.055
07/28/2020,12:40:14,0.07
07/28/2020,12:40:15,0.072
07/28/2020,12:40:16,0.065
07/28/2020,12:40:17,0.073
07/28/2020,12:40:18,0.101
07/28/2020,12:40:19,0.087
07/28/2020,12:40:20,0.062
07/28/2020,12:40:21,0.068
07/28/2020,12:40:22,0.096
07/28/2020,12:40:23,0.084
07/28/2020,12:40:24,0.09
07/28/2020,12:40:25,0.069
07/28/2020,12:40:26,0.074
07/28/2020,12:40:27,0.07
07/28/2020,12:40:28,0.074
07/28/2020,12:40:29,0.094
07/28/2020,12:40:30,0.091
07/28/2020,12:40:31,0.081
07/28/2020,12:40:32,0.089
07/28/2020,12:40:33,0.09
07/28/2020,12:40:34,0.084
07/28/2020,12:40:35,0.07
07/28/2020,12:40:36,0.067
07/28/2020,12:40:37,0.062
07/28/2020,12:40:38,0.084
07/28/2020,12:40:39,0.074
07/28/2020,12:40:40,0.066
07/28/2020,12:40:41,0.081
07/28/2020,12:40:42,0.073
07/28/2020,12:40:43,0.086
07/28/2020,12:40:44,0.061
07/28/2020,12:40:45,0.066

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704007
Test Name:,Test 2
Start Date:,07/28/2020
Start Time:,01:39:45
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.067
,Minimum:,0.049
,Time of Minimum:,01:40:40
,Date of Minimum:,07/28/2020
,Maximum:,0.089
,Time of Maximum:,01:40:44
,Date of Maximum:,07/28/2020

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,07/28/2020
,Cal name:,User5 

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
07/28/2020,13:39:46,0.064
07/28/2020,13:39:47,0.06
07/28/2020,13:39:48,0.07
07/28/2020,13:39:49,0.058
07/28/2020,13:39:50,0.061
07/28/2020,13:39:51,0.068
07/28/2020,13:39:52,0.074
07/28/2020,13:39:53,0.084
07/28/2020,13:39:54,0.059
07/28/2020,13:39:55,0.072
07/28/2020,13:39:56,0.06
07/28/2020,13:39:57,0.076
07/28/2020,13:39:58,0.06
07/28/2020,13:39:59,0.073
07/28/2020,13:40:00,0.081
07/28/2020,13:40:01,0.051
07/28/2020,13:40:02,0.063
07/28/2020,13:40:03,0.078
07/28/2020,13:40:04,0.069
07/28/2020,13:40:05,0.088
07/28/2020,13:40:06,0.064
07/28/2020,13:40:07,0.056
07/28/2020,13:40:08,0.068
07/28/2020,13:40:09,0.066
07/28/2020,13:40:10,0.081
07/28/2020,13:40:11,0.061
07/28/2020,13:40:12,0.07
07/28/2020,13:40:13,0.075
07/28/2020,13:40:14,0.078
07/28/2020,13:40:15,0.068
07/28/2020,13:40:16,0.083
07/28/2020,13:40:17,0.069
07/28/2020,13:40:18,0.051
07/28/2020,13:40:19,0.058
07/28/2020,13:40:20,0.067
07/28/2020,13:40:21,0.067
07/28/2020,13:40:22,0.067
07/28/2020,13:40:23,0.081
07/28/2020,13:40:24,0.051
07/28/2020,13:40:25,0.075
07/28/2020,13:40:26,0.072
07/28/2020,13:40:27,0.068
07/28/2020,13:40:28,0.079
07/28/2020,13:40:29,0.078
07/28/2020,13:40:30,0.069
07/28/2020,13:40:31,0.079
07/28/2020,13:40:32,0.057
07/28/2020,13:40:33,0.076
07/28/2020,13:40:34,0.054
07/28/2020,13:40:35,0.057
07/28/2020,13:40:36,0.061
07/28/2020,13:40:37,0.063
07/28/2020,13:40:38,0.051
07/28/2020,13:40:39,0.049
07/28/2020,13:40:40,0.049
07/28/2020,13:40:41,0.065
07/28/2020,13:40:42,0.072
07/28/2020,13:40:43,0.055
07/28/2020,13:40:44,0.089
07/28/2020,13:40:45,0.055

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704007
Test Name:,Test 3
Start Date:,07/28/2020
Start Time:,02:39:45
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.066
,Minimum:,0.043
,Time of Minimum:,02:39:48
,Date of Minimum:,07/28/2020
,Maximum:,0.101
,Time of Maximum:,02:40:16
,Date of Maximum:,07/28/2020

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,07/28/2020
,Cal name:,User5 

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
07/28/2020,14:39:46,0.066
07/28/2020,14:39:47,0.046
07/28/2020,14:39:48,0.043
07/28/2020,14:39:49,0.067
07/28/2020,14:39:50,0.057
07/28/2020,14:39:51,0.07
07/28/2020,14:39:52,0.049
07/28/2020,14:39:53,0.089
07/28/2020,14:39:54,0.077
07/28/2020,14:39:55,0.074
07/28/2020,14:39:56,0.059
07/28/2020,14:39:57,0.06
07/28/2020,14:39:58,0.064
07/28/2020,14:39:59,0.06
07/28/2020,14:40:00,0.068
07/28/2020,14:40:01,0.06
07/28/2020,14:40:02,0.062
07/28/2020,14:40:03,0.06
07/28/2020,14:40:04,0.074
07/28/2020,14:40:05,0.071
07/28/2020,14:40:06,0.075
07/28/2020,14:40:07,0.083
07/28/2020,14:40:08,0.061
07/28/2020,14:40:09,0.094
07/28/2020,14:40:10,0.064
07/28/2020,14:40:11,0.065
07/28/2020,14:40:12,0.071
07/28/2020,14:40:13,0.066
07/28/2020,14:40:14,0.068
07/28/2020,14:40:15,0.069
07/28/2020,14:40:16,0.101
07/28/2020,14:40:17,0.058
07/28/2020,14:40:18,0.061
07/28/2020,14:40:19,0.071
07/28/2020,14:40:20,0.061
07/28/2020,14:40:21,0.075
07/28/2020,14:40:22,0.075
07/28/2020,14:40:23,0.07
07/28/2020,14:40:24,0.067
07/28/2020,14:40:25,0.072
07/28/2020,14:40:26,0.064
07/28/2020,14:40:27,0.056
07/28/2020,14:40:28,0.087
07/28/2020,14:40:29,0.062
