TrakPro Version 5.0.0.24 ASCII Data File

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704008
Test Name:,Test 1
Start Date:,02/08/2022
Start Time:,01:58:40
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.252
,Minimum:,0.201
,Time of Minimum:,01:58:55
,Date of Minimum:,02/08/2022
,Maximum:,0.361
,Time of Maximum:,01:58:49
,Date of Maximum:,02/08/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,02/08/2022
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
02/08/2022,13:58:41,0.264
02/08/2022,13:58:42,0.28
02/08/2022,13:58:43,0.263
02/08/2022,13:58:44,0.256
02/08/2022,13:58:45,0.26
02/08/2022,13:58:46,0.287
02/08/2022,13:58:47,0.243
02/08/2022,13:58:48,0.261
02/08/2022,13:58:49,0.361
02/08/2022,13:58:50,0.271
02/08/2022,13:58:51,0.249
02/08/2022,13:58:52,0.234
02/08/2022,13:58:53,0.233
02/08/2022,13:58:54,0.222
02/08/2022,13:58:55,0.201
02/08/2022,13:58:56,0.205
02/08/2022,13:58:57,0.257
02/08/2022,13:58:58,0.221
02/08/2022,13:58:59,0.246
02/08/2022,13:59:00,0.247
02/08/2022,13:59:01,0.237
02/08/2022,13:59:02,0.228
02/08/2022,13:59:03,0.268
02/08/2022,13:59:04,0.231
02/08/2022,13:59:05,0.24
02/08/2022,13:59:06,0.231
02/08/2022,13:59:07,0.242
02/08/2022,13:59:08,0.352
02/08/2022,13:59:09,0.232
02/08/2022,13:59:10,0.244
02/08/2022,13:59:11,0.257
02/08/2022,13:59:12,0.257
02/08/2022,13:59:13,0.209
02/08/2022,13:59:14,0.244
02/08/2022,13:59:15,0.255
02/08/2022,13:59:16,0.26
02/08/2022,13:59:17,0.232
02/08/2022,13:59:18,0.295
02/08/2022,13:59:19,0.292
02/08/2022,13:59:20,0.236
02/08/2022,13:59:21,0.246
02/08/2022,13:59:22,0.224
02/08/2022,13:59:23,0.251
02/08/2022,13:59:24,0.24
02/08/2022,13:59:25,0.26
02/08/2022,13:59:26,0.252
02/08/2022,13:59:27,0.245
02/08/2022,13:59:28,0.218
02/08/2022,13:59:29,0.22
02/08/2022,13:59:30,0.274
02/08/2022,13:59:31,0.284
02/08/2022,13:59:32,0.317
02/08/2022,13:59:33,0.263
02/08/2022,13:59:34,0.252
02/08/2022,13:59:35,0.257
02/08/2022,13:59:36,0.25
02/08/2022,13:59:37,0.217
02/08/2022,13:59:38,0.247
02/08/2022,13:59:39,0.236
02/08/2022,13:59:40,0.258

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704008
Test Name:,Test 2
Start Date:,02/08/2022
Start Time:,02:58:41
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.146
,Minimum:,0.12
,Time of Minimum:,02:59:30
,Date of Minimum:,02/08/2022
,Maximum:,0.217
,Time of Maximum:,02:59:25
,Date of Maximum:,02/08/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,02/08/2022
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
02/08/2022,14:58:42,0.162
02/08/2022,14:58:43,0.133
02/08/2022,14:58:44,0.162
02/08/2022,14:58:45,0.147
02/08/2022,14:58:46,0.125
02/08/2022,14:58:47,0.148
02/08/2022,14:58:48,0.147
02/08/2022,14:58:49,0.166
02/08/2022,14:58:50,0.143
02/08/2022,14:58:51,0.147
02/08/2022,14:58:52,0.139
02/08/2022,14:58:53,0.138
02/08/2022,14:58:54,0.144
02/08/2022,14:58:55,0.14
02/08/2022,14:58:56,0.137
02/08/2022,14:58:57,0.152
02/08/2022,14:58:58,0.155
02/08/2022,14:58:59,0.132
02/08/2022,14:59:00,0.155
02/08/2022,14:59:01,0.156
02/08/2022,14:59:02,0.137
02/08/2022,14:59:03,0.171
02/08/2022,14:59:04,0.179
02/08/2022,14:59:05,0.159
02/08/2022,14:59:06,0.14
02/08/2022,14:59:07,0.135
02/08/2022,14:59:08,0.144
02/08/2022,14:59:09,0.142
02/08/2022,14:59:10,0.171
02/08/2022,14:59:11,0.134
02/08/2022,14:59:12,0.173
02/08/2022,14:59:13,0.159
02/08/2022,14:59:14,0.129
02/08/2022,14:59:15,0.152
02/08/2022,14:59:16,0.144
02/08/2022,14:59:17,0.15
02/08/2022,14:59:18,0.176
02/08/2022,14:59:19,0.121
02/08/2022,14:59:20,0.136
02/08/2022,14:59:21,0.129
02/08/2022,14:59:22,0.157
02/08/2022,14:59:23,0.141
02/08/2022,14:59:24,0.136
02/08/2022,14:59:25,0.217
02/08/2022,14:59:26,0.124
02/08/2022,14:59:27,0.123
02/08/2022,14:59:28,0.127
02/08/2022,14:59:29,0.145
02/08/2022,14:59:30,0.12
02/08/2022,14:59:31,0.133
02/08/2022,14:59:32,0.133
02/08/2022,14:59:33,0.135
02/08/2022,14:59:34,0.142
02/08/2022,14:59:35,0.18
02/08/2022,14:59:36,0.147
02/08/2022,14:59:37,0.138
02/08/2022,14:59:38,0.127
02/08/2022,14:59:39,0.172
02/08/2022,14:59:40,0.136
02/08/2022,14:59:41,0.135

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704008
Test Name:,Test 3
Start Date:,02/08/2022
Start Time:,03:58:41
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.15
,Minimum:,0.127
,Time of Minimum:,03:59:25
,Date of Minimum:,02/08/2022
,Maximum:,0.194
,Time of Maximum:,03:59:37
,Date of Maximum:,02/08/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,02/08/2022
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
02/08/2022,15:58:42,0.129
02/08/2022,15:58:43,0.148
02/08/2022,15:58:44,0.135
02/08/2022,15:58:45,0.134
02/08/2022,15:58:46,0.166
02/08/2022,15:58:47,0.15
02/08/2022,15:58:48,0.144
02/08/2022,15:58:49,0.144
02/08/2022,15:58:50,0.135
02/08/2022,15:58:51,0.136
02/08/2022,15:58:52,0.14
02/08/2022,15:58:53,0.141
02/08/2022,15:58:54,0.14
02/08/2022,15:58:55,0.133
02/08/2022,15:58:56,0.138
02/08/2022,15:58:57,0.144
02/08/2022,15:58:58,0.152
02/08/2022,15:58:59,0.132
02/08/2022,15:59:00,0.166
02/08/2022,15:59:01,0.153
02/08/2022,15:59:02,0.146
02/08/2022,15:59:03,0.147
02/08/2022,15:59:04,0.151
02/08/2022,15:59:05,0.139
02/08/2022,15:59:06,0.181
02/08/2022,15:59:07,0.154
02/08/2022,15:59:08,0.139
02/08/2022,15:59:09,0.156
02/08/2022,15:59:10,0.147
02/08/2022,15:59:11,0.145
02/08/2022,15:59:12,0.149
02/08/2022,15:59:13,0.166
02/08/2022,15:59:14,0.144
02/08/2022,15:59:15,0.162
02/08/2022,15:59:16,0.141
02/08/2022,15:59:17,0.154
02/08/2022,15:59:18,0.186
02/08/2022,15:59:19,0.161
02/08/2022,15:59:20,0.135
02/08/2022,15:59:21,0.154
02/08/2022,15:59:22,0.144
02/08/2022,15:59:23,0.162
02/08/2022,15:59:24,0.137
02/08/2022,15:59:25,0.127
02/08/2022,15:59:26,0.145
02/08/2022,15:59:27,0.168
02/08/2022,15:59:28,0.152
02/08/2022,15:59:29,0.16
02/08/2022,15:59:30,0.136
02/08/2022,15:59:31,0.133
02/08/2022,15:59:32,0.164
02/08/2022,15:59:33,0.146
02/08/2022,15:59:34,0.14
02/08/2022,15:59:35,0.183
02/08/2022,15:59:36,0.178
02/08/2022,15:59:37,0.194
02/08/2022,15:59:38,0.131
02/08/2022,15:59:39,0.183
02/08/2022,15:59:40,0.136
02/08/2022,15:59:41,0.158

Instrument Name:,SidePak Aerosol Monitor
Model Number:,AM520
Serial Number:,5201704008
Test Name:,Test 4
Start Date:,02/08/2022
Start Time:,04:58:41
Duration (dd:hh:mm:ss):,00:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,60
Description:,

Statistics Channel: ,Aerosol
,Units:,mg/m³
,Average:,0.225
,Minimum:,0.183
,Time of Minimum:,04:59:15
,Date of Minimum:,02/08/2022
,Maximum:,0.264
,Time of Maximum:,04:59:34
,Date of Maximum:,02/08/2022

,TWA:,N/A

Calibration Sensor: ,Aerosol
,Cal factor:,1
,Cal date:,02/08/2022
,Cal name:,Factory

Date,Time,Concentration
MM/dd/yyyy,HH:mm:ss,mg/m³
02/08/2022,16:58:42,0.235
02/08/2022,16:58:43,0.207
02/08/2022,16:58:44,0.21
02/08/2022,16:58:45,0.242
02/08/2022,16:58:46,0.259
02/08/2022,16:58:47,0.242
02/08/2022,16:58:48,0.248
02/08/2022,16:58:49,0.213
02/08/2022,16:58:50,0.2
02/08/2022,16:58:51,0.218
02/08/2022,16:58:52,0.214
02/08/2022,16:58:53,0.227
02/08/2022,16:58:54,0.247
02/08/2022,16:58:55,0.222
02/08/2022,16:58:56,0.238
02/08/2022,16:58:57,0.231
02/08/2022,16:58:58,0.194
02/08/2022,16:58:59,0.237
02/08/2022,16:59:00,0.245
02/08/2022,16:59:01,0.222
02/08/2022,16:59:02,0.216
02/08/2022,16:59:03,0.212
02/08/2022,16:59:04,0.224
02/08/2022,16:59:05,0.223
02/08/2022,16:59:06,0.222
02/08/2022,16:59:07,0.223
02/08/2022,16:59:08,0.206
02/08/2022,16:59:09,0.233
02/08/2022,16:59:10,0.248
02/08/2022,16:59:11,0.191
02/08/2022,16:59:12,0.238
02/08/2022,16:59:13,0.25
02/08/2022,16:59:14,0.215
02/08/2022,16:59:15,0.183
02/08/2022,16:59:16,0.21
02/08/2022,16:59:17,0.253
02/08/2022,16:59:18,0.232
02/08/2022,16:59:19,0.193
02/08/2022,16:59:20,0.252
02/08/2022,16:59:21,0.239
02/08/2022,16:59:22,0.225
02/08/2022,16:59:23,0.192
02/08/2022,16:59:24,0.226
02/08/2022,16:59:25,0.23
02/08/2022,16:59:26,0.221
02/08/2022,16:59:27,0.235
02/08/2022,16:59:28,0.218
02/08/2022,16:59:29,0.221
02/08/2022,16:59:30,0.21
