Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
12/2/2022,16:24:43,0.128
12/2/2022,16:24:44,0.097
12/2/2022,16:24:45,0.12
12/2/2022,16:24:46,0.13
12/2/2022,16:24:47,0.12
12/2/2022,16:24:48,0.118
12/2/2022,16:24:49,0.127
12/2/2022,16:24:50,0.099
12/2/2022,16:24:51,0.094
12/2/2022,16:24:52,0.104
12/2/2022,16:24:53,0.115
12/2/2022,16:24:54,0.122
12/2/2022,16:24:55,0.138
12/2/2022,16:24:56,0.087
12/2/2022,16:24:57,0.109
12/2/2022,16:24:58,0.103
12/2/2022,16:24:59,0.126
12/2/2022,16:25:00,0.093
12/2/2022,16:25:01,0.108
12/2/2022,16:25:02,0.101
12/2/2022,16:25:03,0.125
12/2/2022,16:25:04,0.121
12/2/2022,16:25:05,0.101
12/2/2022,16:25:06,0.111
12/2/2022,16:25:07,0.089
12/2/2022,16:25:08,0.149
12/2/2022,16:25:09,0.133
12/2/2022,16:25:10,0.129
12/2/2022,16:25:11,0.138
12/2/2022,16:25:12,0.121
12/2/2022,16:25:13,0.137
12/2/2022,16:25:14,0.121
12/2/2022,16:25:15,0.128
12/2/2022,16:25:16,0.154
12/2/2022,16:25:17,0.126
12/2/2022,16:25:18,0.142
12/2/2022,16:25:19,0.124
12/2/2022,16:25:20,0.122
12/2/2022,16:25:21,0.132
12/2/2022,16:25:22,0.129
12/2/2022,16:25:23,0.118
12/2/2022,16:25:24,0.098
12/2/2022,16:25:25,0.114
12/2/2022,16:25:26,0.114
12/2/2022,16:25:27,0.105
12/2/2022,16:25:28,0.111
12/2/2022,16:25:29,0.122
12/2/2022,16:25:30,0.1
12/2/2022,16:25:31,0.082
12/2/2022,16:25:32,0.095
12/2/2022,16:25:33,0.08
12/2/2022,16:25:34,0.091
12/2/2022,16:25:35,0.102
12/2/2022,16:25:36,0.077
12/2/2022,16:25:37,0.082
12/2/2022,16:25:38,0.068
12/2/2022,16:25:39,0.076
12/2/2022,16:25:40,0.083
12/2/2022,16:25:41,0.098
12/2/2022,16:25:42,0.072
Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
12/2/2022,17:24:44,0.062
12/2/2022,17:24:45,0.06
12/2/2022,17:24:46,0.069
12/2/2022,17:24:47,0.063
12/2/2022,17:24:48,0.062
12/2/2022,17:24:49,0.068
12/2/2022,17:24:50,0.081
12/2/2022,17:24:51,0.079
12/2/2022,17:24:52,0.09
12/2/2022,17:24:53,0.08
12/2/2022,17:24:54,0.074
12/2/2022,17:24:55,0.078
12/2/2022,17:24:56,0.074
12/2/2022,17:24:57,0.064
12/2/2022,17:24:58,0.087
12/2/2022,17:24:59,0.062
12/2/2022,17:25:00,0.051
12/2/2022,17:25:01,0.062
12/2/2022,17:25:02,0.075
12/2/2022,17:25:03,0.084
12/2/2022,17:25:04,0.057
12/2/2022,17:25:05,0.045
12/2/2022,17:25:06,0.042
12/2/2022,17:25:07,0.052
12/2/2022,17:25:08,0.048
12/2/2022,17:25:09,0.052
12/2/2022,17:25:10,0.05
12/2/2022,17:25:11,0.052
12/2/2022,17:25:12,0.066
12/2/2022,17:25:13,0.061
12/2/2022,17:25:14,0.069
12/2/2022,17:25:15,0.098
12/2/2022,17:25:16,0.067
12/2/2022,17:25:17,0.064
12/2/2022,17:25:18,0.098
12/2/2022,17:25:19,0.069
12/2/2022,17:25:20,0.089
12/2/2022,17:25:21,0.083
12/2/2022,17:25:22,0.071
12/2/2022,17:25:23,0.072
12/2/2022,17:25:24,0.079
12/2/2022,17:25:25,0.076
12/2/2022,17:25:26,0.071
12/2/2022,17:25:27,0.083
12/2/2022,17:25:28,0.091
12/2/2022,17:25:29,0.08
12/2/2022,17:25:30,0.077
12/2/2022,17:25:31,0.073
12/2/2022,17:25:32,0.071
12/2/2022,17:25:33,0.066
12/2/2022,17:25:34,0.07
12/2/2022,17:25:35,0.082
12/2/2022,17:25:36,0.09
12/2/2022,17:25:37,0.093
12/2/2022,17:25:38,0.064
12/2/2022,17:25:39,0.066
12/2/2022,17:25:40,0.069
12/2/2022,17:25:41,0.073
12/2/2022,17:25:42,0.072
12/2/2022,17:25:43,0.071
Date,Time,MC
MM/dd/yyyy,HH:mm:ss,mg/m³
